,Drug-Gene,Drug-Gene Cluster,Dependency Path,Dependency path Cluster
111,(geldanamycin/hsp70),9.0,"[xsubj, mice, amod]",36.0
112,(corticosteroids/pprom),6.0,"[nsubj, inhibited, ccomp]",29.0
113,(paclitaxel/vegf),18.0,"[appos, specific, nn]",21.0
114,(epirubicin/filgrastim),5.0,"[dep, agonist, nn]",15.0
115,(nebivolol/enos),29.0,"[nsubj, induce, dobj]",57.0
116,(minocycline/fmr1),16.0,"[prep_of, administration, appos, inhibitor, amod]",70.0
117,(il-2/csf-1),18.0,"[nsubj, increases, dobj, expression, prep_of]",7.0
118,(gm-csf/flt3l),18.0,"[prep_to, showed, nsubj]",47.0
119,(losartan/cyp3a4),15.0,"[amod, levels, amod]",42.0
120,(modafinil/orexin),7.0,"[prep_with, inhibiting, dobj]",42.0
121,(succinylcholine/nachr),10.0,"[prep_of, target, nsubj]",114.0
122,(coumarin/cyp3a4),17.0,"[nsubj, induced, acomp]",0.0
123,(mifepristone/cox-1),4.0,"[nsubj, inhibit, dobj, activity, amod]",92.0
124,(quetiapine/cyp3a4),17.0,"[prep_of, expression, nn]",10.0
125,(octreotide/calcitonin),27.0,"[prep_to, respond, nsubj]",50.0
126,(rapamycin/pten),7.0,"[appos, blocker, amod]",38.0
127,(il-2/il2r),20.0,"[appos, vegf, appos]",65.0
128,(tolbutamide/cyp2c),15.0,"[appos, member, prep_of, family, nn]",28.0
129,(imatinib/c-abl),1.0,"[nn, antibody, nn]",26.0
130,(succinyldicholine/cholinesterase),17.0,"[nsubj, blocked, dobj, effect, prep_of]",65.0
131,(fluvastatin/nf-kappab),23.0,"[agent, regulated, nsubjpass, expression, prep_of]",74.0
132,(naloxone/cgrp),21.0,"[nsubj, blocked, dobj, effects, prep_of]",82.0
133,(ng-monomethyl-l-arginine/inos),1.0,"[prep_on, levels, nn]",120.0
134,(cisplatin/caspase-9),16.0,"[prep_of, effect, appos]",121.0
135,(cisplatin/caspase-8),17.0,"[amod, treatment, prep_during]",120.0
136,(resveratrol/mtor),11.0,"[agent, regulated, nsubjpass]",52.0
137,(donepezil/igf-i),25.0,"[nsubj, inducer, nn]",104.0
138,(hyaluronan/aggrecan),8.0,"[nsubj, increased, dobj]",15.0
139,(nadh/sir2),13.0,"[amod, lymphotoxin, amod]",15.0
140,(citalopram/sert),12.0,"[nn, activity, amod]",51.0
141,(il-1rn/il-1ra),27.0,"[nn, binding, appos]",67.0
142,(il-1ra/il-1rn),20.0,"[amod, inhibitors, appos]",87.0
143,(estradiol/tebg),24.0,"[xsubj, decrease, dobj, levels, nn]",79.0
144,(capsaicin/cyclooxygenase-2),4.0,"[prep_to, catalyzes, nsubj]",0.0
145,(alendronate/mmp-9),28.0,"[appos, inhibitors, appos]",113.0
146,(flurbiprofen/cox-1),17.0,"[nsubj, decrease, dobj, expression, nn]",120.0
147,(flurbiprofen/cox-2),5.0,"[agent, inhibited, nsubjpass, activation, prep_of]",104.0
148,(imipramine/fmo1),12.0,"[nsubj, increased, dobj, phosphorylation, amod]",0.0
149,(l-dopa/ghrh),27.0,"[prep_to, response, prep_in]",75.0
150,(azathioprine/etanercept),2.0,"[prep_for, affinity, dobj, has, nsubj]",36.0
151,(alendronate/mmp-2),18.0,"[nsubj, stimulate, dobj]",20.0
152,(valganciclovir/pept1),15.0,"[prep_of, activity, appos]",10.0
153,(norepinephrine/gnrh),7.0,"[prep_for, micrograms, amod]",83.0
154,(spermine/ck-1),29.0,"[rcmod, binds, prep_to]",0.0
155,(cisplatin/caspase-3),25.0,"[nn, globulin, appos]",114.0
156,(atorvastatin/oatp1b1),15.0,"[nsubj, affects, dobj, expression, prep_of]",2.0
157,(cisplatin/caspase-2),24.0,"[nsubj, inhibited, dobj, expression, amod]",88.0
158,(urokinase/cd87),20.0,"[dobj, using, prep_as, substrate, nn]",17.0
159,(rapamycin/huntingtin),27.0,"[nsubj, inhibited, dobj, secretion, amod]",52.0
160,(arsenite/hsp27),22.0,"[agent, stimulated, nsubjpass]",108.0
161,(propofol/ho-1),19.0,"[appos, inhibitor, prep_of, activity, nn]",24.0
162,(dexamethasone/parp),19.0,"[nsubj, inhibited, prep_in]",17.0
163,(progestogens/gnrh),29.0,"[xsubj, substrate, prep_for]",91.0
164,(resveratrol/ampk),10.0,"[nsubj, inhibitor, prep_of, receptor, appos]",52.0
165,(ketoconazole/cyp51),28.0,"[nsubjpass, metabolized, agent, enzyme, nn]",47.0
166,(pge2/ccr7),9.0,"[amod, inhibition, nn]",88.0
167,(mirtazapine/bdnf),0.0,"[prep_in, patients, prep_with, disease, appos]",91.0
168,(clofibrate/pparalpha),16.0,"[nn, release, amod]",68.0
169,(captopril/kallikrein),5.0,"[nsubj, treatment, prep_for]",17.0
170,(topiramate/cgrp),19.0,"[appos, antagonist, num]",17.0
171,(desferrioxamine/hif-1alpha),22.0,"[prep_with, activated, nsubjpass]",88.0
172,(g-csf/fmlp),19.0,"[nn, resistance, prep_in]",17.0
173,(ketoconazole/cyp3a),23.0,"[prep_with, treated, nsubjpass, cells, nn]",52.0
174,(lapatinib/her1),6.0,"[nsubj, suppressed, dobj, phosphorylation, nn]",88.0
175,(lapatinib/her2),1.0,"[partmod, induced, dobj, activation, prep_of]",7.0
176,(cisplatin/chk1),23.0,"[nsubj, stimulates, dobj, expression, prep_of]",7.0
177,(bleomycin/gm-csf),24.0,"[nn, dehydrogenase, appos]",102.0
178,(pge2/il-13),4.0,"[nsubj, had, dobj, effect, prep_on, levels, nn]",17.0
179,(tranylcypromine/cyp2a6),28.0,"[nsubj, increased, dobj, level, prep_of]",17.0
180,(dexamethasone/secretagogin),0.0,"[nsubj, affect, dobj, expression, prep_of]",17.0
181,(pge2/il-15),21.0,"[nsubj, inhibit, dobj, expression, prep_of]",107.0
182,(pge2/il-10),4.0,"[prep_by, upregulation, amod]",88.0
183,(metformin/hoct1),15.0,"[amod, treatment, nsubj, increased, dobj]",48.0
184,(paclitaxel/il-10),9.0,"[nsubj, increased, prep_in, mice, amod]",17.0
185,(cisplatin/nf-kappab),8.0,"[nn, treatment, nsubj, increased, dobj, expression, amod]",52.0
186,(pge2/il-17),8.0,"[nn, group, nn]",17.0
187,(pge2/il-18),2.0,"[nsubj, stimulated, dobj, release, amod]",47.0
188,(nadh/mononucleotide),18.0,"[nsubj, decreased, dobj, secretion, amod]",7.0
189,(citrulline/inos),17.0,"[agent, affected, nsubjpass]",25.0
190,(simvastatin/pparalpha),20.0,"[prep_to, binds, nsubj]",68.0
191,(pge2/gm-csf),22.0,"[nsubj, inhibit, dobj, release, prep_of]",0.0
192,(paracetamol/cyclooxygenase-2),12.0,"[dobj, activity, amod]",0.0
193,(metformin/mate1),14.0,"[nsubj, stimulates, dobj, expression, amod]",0.0
194,(pge2/il-27),2.0,"[prep_on, activation, nn]",83.0
195,(nadh/oxidoreductase),0.0,"[dep, inhibitors, prep_of]",83.0
196,(fenofibrate/rbp4),0.0,"[prep_on, gene, appos]",83.0
197,(pge2/il-23),21.0,"[prep_to, associated, nsubjpass]",103.0
198,(reteplase/alteplase),18.0,"[nsubj, increased, dobj, expression, amod]",113.0
199,(alteplase/reteplase),2.0,"[nsubj, increased, dobj, release, amod]",61.0
200,(troglitazone/cyp1a1),24.0,"[prep_by, pathway, amod]",66.0
201,(il-2/foxp3),0.0,"[appos, antagonist, amod]",117.0
202,(warfarin/hips),6.0,"[prep_with, treated, partmod, cells, prep_in]",109.0
203,(corticosteroids/copd),6.0,"[nsubj, therapy, prep_for]",83.0
204,(cisplatin/p-gp),24.0,"[prep_with, treatment, appos, inhibitor, nn]",83.0
205,(resveratrol/pparalpha),29.0,"[nsubj, inducer, prep_of]",0.0
206,(valsartan/at1r),0.0,"[prep_such_as, antagonists, nn]",55.0
207,(cisplatin/yb-1),9.0,"[amod, mice, amod]",109.0
208,(indomethacin/pghs-1),28.0,"[nsubj, inhibitors, prep_of]",39.0
209,(g-csf/cd34),7.0,"[amod, antagonist, amod]",83.0
210,(g-csf/bfgf),2.0,"[nsubj, inhibited, dobj, effect, prep_of]",76.0
211,(5-asa/egfr),23.0,"[amod, treatment, prep_of]",51.0
212,(trastuzumab/cd44),1.0,"[appos, inducer, prep_of]",51.0
213,(venlafaxine/sert),9.0,"[appos, inhibitor, prep_of, receptor, appos]",11.0
214,(fibrates/pparalpha),29.0,"[nsubj, increased, dobj, levels, amod]",14.0
215,(ranitidine/gastrin),5.0,"[amod, treatment, prep_on]",51.0
216,(ketoconazole/cyp17),28.0,"[amod, activity, nn]",16.0
217,(tropisetron/cyp2d6),17.0,"[nsubj, bound, prep_to]",71.0
218,(gp120/gp160),2.0,"[prep_by, protein, nn]",0.0
219,(riluzole/hsf1),5.0,"[prep_with, treated, rcmod]",49.0
220,(rituximab/fsgs),0.0,"[amod, group, prep_in]",53.0
221,(noradrenaline/inositol),9.0,"[appos, blocker, nn]",110.0
222,(gm-csf/vegf),18.0,"[nsubj, activator, prep_of]",110.0
223,(rifabutin/cyp3a),22.0,"[nsubj, reduced, dobj, expression, prep_of]",105.0
224,(prasugrel/cyp2b6),22.0,"[dobj, receptor, appos]",107.0
225,(miglitol/alpha-glucosidase),12.0,"[agent, upregulated, nsubjpass]",107.0
226,(il-2/cd122),0.0,"[xsubj, induce, dobj, expression, amod]",71.0
227,(pgi2/pgd2),2.0,"[prep_by, inactivation, nn]",107.0
228,(gm-csf/tlr2),17.0,"[amod, agonists, appos]",107.0
229,(il-2/cd132),20.0,"[amod, protein, appos]",107.0
230,(mexiletine/cyp2d6),17.0,"[prep_of, effect, dep]",67.0
231,(torsemide/cyp2c9),17.0,"[nsubj, decreased, dobj, mrna, amod]",109.0
232,(l-histidine/hnmt),20.0,"[agent, suppressed, nsubjpass, expression, amod]",34.0
233,(cabergoline/igf-i),9.0,"[nsubj, induced, dobj, release, prep_of]",124.0
234,(atra/trkb),4.0,"[amod, beta, dep]",93.0
235,(rapamycin/mmp-9),28.0,"[prep_of, metabolism, amod]",70.0
236,(tranylcypromine/bdnf),22.0,"[amod, substrates, num]",0.0
237,(curcumin/herg),23.0,"[xsubj, expression, nn]",77.0
238,(gm-csf/flt-3),7.0,"[nsubj, induced, dobj, activity, amod]",0.0
239,(fk506/sp-a),6.0,"[agent, blocked, nsubjpass, effect, prep_of]",95.0
240,(riluzole/cyp1a2),17.0,"[dep, factor, dep]",66.0
241,(gm-csf/egr-1),8.0,"[appos, factor, appos, factor, appos]",72.0
242,(rivastigmine/cholinesterase),1.0,"[agent, induced, partmod, phosphates, amod]",0.0
243,(furafylline/cyp1a2),28.0,"[prep_of, effects, prep_on]",0.0
244,(l-dopa/mao-b),28.0,"[dep, inhibitor, prep_of]",69.0
245,(l-dopa/mao-a),25.0,"[prep_to, required, nsubjpass]",96.0
246,(terbutaline/beta2),16.0,"[prep, plus, dep]",5.0
247,(dexamethasone/nhe3),25.0,"[amod, receptor, appos]",0.0
248,(capsaicin/cyp1a1),0.0,"[amod, inhibition, prep_of]",73.0
249,(noscapine/nf-kappab),23.0,"[appos, analog, amod]",72.0
250,(collagenase/mmp-13),20.0,"[prep_such_as, inhibitor, amod]",0.0
251,(papaverine/pde10a),6.0,"[dep, activity, amod]",124.0
252,(fenofibrate/ppargamma),29.0,"[nsubj, enhances, dobj, activity, amod]",0.0
253,(etoposide/bcl-2),1.0,"[xsubj, increase, dobj]",43.0
254,(galantamine/cholinesterase),28.0,"[nsubj, analog, prep_of]",84.0
255,(isoflurane/ho-1),1.0,"[nsubjpass, activated, agent]",118.0
256,(bortezomib/ikappabalpha),13.0,"[amod, type, appos]",70.0
257,(cisplatin/ercc1),8.0,"[dobj, expression, amod]",8.0
258,(fibrates/apoc-iii),27.0,"[nsubj, induced, dobj, translocation, prep_of]",78.0
259,(chlorambucil/mrp1),24.0,"[nsubjpass, metabolised, agent]",78.0
260,(forskolin/ampk),23.0,"[nn, stimulation, prep_of]",76.0
261,(cilomilast/pde4),28.0,"[nsubj, induces, dobj, expression, nn]",33.0
262,(goserelin/lhrh),16.0,"[nn, gene, amod]",88.0
263,(roflumilast/pde4),1.0,"[nn, oxidase, appos]",89.0
264,(efalizumab/cd11a),7.0,"[agent, affected, nsubjpass, expression, prep_of]",20.0
265,(alprazolam/cyp3a),15.0,"[prep_of, synthesis, appos]",12.0
266,(isoproterenol/cgrp),19.0,"[amod, factor, appos]",0.0
267,(bupropion/cyp2d6),12.0,"[prep_to, confers, nsubj]",103.0
268,(ndga/leukotriene),12.0,"[nn, resistance, dobj, confers, nsubj]",82.0
269,(haloperidol/bdnf),22.0,"[amod, activity, appos]",67.0
270,(liraglutide/glp-1),16.0,"[nn, transporter, appos]",118.0
271,(tofisopam/cyp3a4),13.0,"[amod, antagonists, amod]",0.0
272,(theophylline/leukotriene),0.0,"[amod, treatment, nsubj, decreased, dobj, mrna, nn]",50.0
273,(paclitaxel/cyp3a),15.0,"[nn, hormone, appos]",93.0
274,(isoprenaline/pepck),22.0,"[prep_in, patients, nn]",121.0
275,(temsirolimus/mtor),1.0,"[prep_of, effects, nsubj]",68.0
276,(rizatriptan/5-ht1b),16.0,"[agent, inhibited, nsubjpass, effect, prep_of]",122.0
277,(novobiocin/bcrp),5.0,"[nsubj, inhibited, prep_by]",117.0
278,(dexamethasone/ngfr),24.0,"[prep_with, support, nn]",0.0
279,(cyclosporin/inos),3.0,"[prep_with, induced, nsubjpass, expression, amod]",34.0
280,(norepinephrine/comt),28.0,"[nsubj, form, prep_of]",114.0
281,(metformin/lkb1),9.0,"[amod, valproic, amod, acid, prep_of, clearances, dep, treatment, prep_of, influence, xsubj, determine, ccomp, induces, dobj]",83.0
282,(anticholinergics/beta2),16.0,"[nn, metabolism, prep_in]",93.0
283,(zafirlukast/leukotriene),0.0,"[prep_on, cells, nn]",93.0
284,(elacridar/p-gp),28.0,"[dobj, using, nsubj]",19.0
285,(troglitazone/cox-2),0.0,"[nsubj, inhibited, dobj, expression, nn]",35.0
286,(estradiol/aromatase),0.0,"[dep, factor, appos]",114.0
287,(ribavirin/ent1),15.0,"[partmod, induced, dobj, expression, prep_of]",52.0
288,(icil-1ra/il-1),0.0,"[nsubj, increased, dobj, activity, amod]",34.0
289,(indomethacin/abcc1),25.0,"[agent, increased, nsubjpass]",114.0
290,(metyrapone/cyp1a1),22.0,"[appos, inhibitors, prep_of]",34.0
291,(5-asa/cox-2),13.0,"[nsubj, enhanced, dobj, expression, nn]",93.0
292,(indomethacin/icam-1),1.0,"[nsubj, decreased, dobj, protein, nn]",46.0
293,(fludarabine/g-csf),18.0,"[appos, gene, nn]",89.0
294,(aldosterone/ace2),22.0,"[nsubj, inhibited, dobj, secretion, prep_of]",64.0
295,(fentanyl/p-gp),15.0,"[prep_of, clearance, appos]",34.0
296,(menadione/egfr),7.0,"[amod, binds, prep_to]",93.0
297,(losartan/mmp-2),11.0,"[dep, antagonist, amod]",88.0
298,(riluzole/bcrp),15.0,"[nsubj, inhibit, dobj]",124.0
299,(miconazole/herg),0.0,"[agent, reduced, nsubjpass, expression, prep_of]",34.0
300,(quetiapine/abcb1),23.0,"[nsubj, downregulated, dobj]",93.0
301,(furosemide/talh),12.0,"[prep_such_as, antagonists, num]",34.0
302,(lapatinib/p-gp),12.0,"[nsubj, enhanced, dobj, activity, nn]",5.0
303,(gefitinib/her3),20.0,"[nsubj, reduced, dobj, levels, nn]",76.0
304,(genistein/hif-1),28.0,"[prep_with, cells, prep_of, treatment, appos, inhibitor, prep_of]",13.0
305,(cisplatin/nm23-h1),7.0,"[nsubj, analog, nn]",92.0
306,(gefitinib/her2),28.0,"[prep_on, synthase, appos]",92.0
307,(clarithromycin/cyp3a),1.0,"[prep_in, expression, amod]",116.0
308,(spermine/ssat),20.0,"[amod, antagonists, num]",13.0
309,(diclofenac/cyp2c9),15.0,"[appos, eg, dep]",6.0
310,(capsaicin/igf-i),5.0,"[xsubj, levels, prep_of]",61.0
311,(arsenite/hsp72),29.0,"[prep_with, blockade, amod]",101.0
312,(aldosterone/nedd4-2),5.0,"[nsubj, potent, prep_than]",6.0
313,(telmisartan/ppar-gamma),0.0,"[nsubj, inhibit, dobj, expression, amod]",99.0
314,(pge2/cyp19),25.0,"[xsubj, polymorphism, nn]",100.0
315,(icatibant/kallikrein),28.0,"[prep_of, effects, dobj, examined, prep_on]",90.0
316,(curcumin/il-1),3.0,"[nsubj, agonist, appos]",90.0
317,(norepinephrine/cort),24.0,"[amod, concentration, nn]",90.0
318,(dextromethorphan/cyp2d6),15.0,"[appos, theophylline, appos]",10.0
319,(dasatinib/stat3),0.0,"[nsubj, effective, prep_than]",26.0
320,(capsaicin/glp-1),5.0,"[prep_of, effect, dobj, evaluate, prep_on]",26.0
321,(clomiphene/gnrh),2.0,"[nsubj, induced, dobj, expression, prep_of]",16.0
322,(tacrolimus/p-gp),28.0,"[nsubj, reduced, dobj, phosphorylation, prep_of]",49.0
323,(hyaluronidase/phospholipase),2.0,"[nn, hydroxylase, appos]",20.0
324,(creatine/asat),12.0,"[nsubj, induces, dobj, activation, prep_of]",101.0
325,(naloxone/alpha-msh),18.0,"[nsubj, decreased, dobj, activity, prep_of]",49.0
326,(erythromycin/nadph),21.0,"[appos, production, amod]",111.0
327,(dasatinib/stat5),1.0,"[nsubj, reduced, dobj, level, prep_of]",26.0
328,(celecoxib/vegf),18.0,"[nsubjpass, associated, prep_with]",106.0
329,(oxycodone/cyp2d6),17.0,"[nsubj, decreases, dobj, expression, nn]",106.0
330,(celecoxib/tcf-1),1.0,"[nsubj, decreased, dobj, levels, amod]",19.0
331,(lactulose/beta-galactosidase),21.0,"[nsubj, decreased, dobj, level, nn]",29.0
332,(rosiglitazone/cyp2c8),15.0,"[nsubj, downregulated, dobj, expression, prep_of, mrna, nn]",19.0
333,(fenofibrate/ppar-alpha),7.0,"[appos, inhibitor, nn]",29.0
334,(curcumin/caspase-3),25.0,"[agent, inhibited, nsubjpass, effects, prep_of]",29.0
335,(imipramine/ugt1a4),15.0,"[appos, pdgfa, appos]",61.0
336,(arsenite/hsp70),8.0,"[prep_such_as, agonists, nn]",27.0
337,(capsaicin/cox-2),3.0,"[nsubj, suppressed, dobj, activation, nn]",0.0
338,(taxanes/bcl-2),10.0,"[nsubj, blocked, dobj, expression, nn]",13.0
339,(tetrahydrobiopterin/enos),0.0,"[nsubj, inactivator, prep_of]",18.0
340,(aprotinin/par1),23.0,"[nsubj, inhibited, dobj, effects, prep_of]",73.0
341,(dexfenfluramine/niddm),2.0,"[nsubj, stimulates, dobj, expression, nn]",0.0
342,(tolcapone/catechol-o-methyltransferase),12.0,"[prep_of, effect, dobj, investigated, prep_on, expression, amod]",6.0
343,(corticotropin/crh-r1),20.0,"[appos, inhibitor, prep_of]",29.0
