,drug-gene,dependency path,Drug-Gene Pair Cluster,Dependency Path Cluster
59,(topotecan/dlts),"[nsubj, reduced, dobj, protein, amod]",23.0,0.0
60,(estradiol/cxcl11),"[amod, thiazolidinediones, nsubj, agonists, nn]",2.0,0.0
61,(suramin/vegf),"[xsubj, substrate, prep_of]",14.0,0.0
62,(staurosporine/hsp27),"[dep, required, nsubjpass]",2.0,85.0
63,(prostacyclin/ml-1),"[amod, secretion, dobj, increasing, prepc_while, increased, nsubj, acth, amod]",23.0,0.0
64,(promethazine/herg),"[appos, methamphetamine, prep_with, conducted, dobj, analysis, prep_of, gene, appos]",18.0,0.0
65,(valsartan/vegf),"[agent, reduced, nsubjpass, response, nn]",14.0,22.0
66,(n-acetylcysteine/hif-1alpha),"[prep_to, sensitive, nsubj, effects, prep_of]",14.0,0.0
67,(tamoxifen/brca1),"[prep_on, level, prep_of, mrna, nn]",23.0,22.0
68,(hydroxyurea/cdc2),"[dobj, receiving, xcomp, decreased, nsubjpass]",18.0,24.0
69,(tamoxifen/brca2),"[amod, subunits, prep_of]",14.0,14.0
70,(nutlin-3/hif-1),"[prep_by, receptors, nn]",26.0,103.0
71,(hydroxyurea/cdc7),"[prep_on, receptor, appos]",18.0,0.0
72,(glucosamine/o-glcnacase),"[nn, accumulation, prep_in, cells, nn]",22.0,68.0
73,(minocycline/osteocalcin),"[prep_to, comparable, amod]",4.0,105.0
74,(pge2/pga1),"[agent, increased, nsubjpass, levels, prep_of]",10.0,41.0
75,(alendronate/icer),"[prep_of, effect, dobj, showed, prep_on]",18.0,115.0
76,(deoxyadenosine/mononucleotide),"[prep_in, trial, nn]",2.0,10.0
77,(cisplatin/ghrl),"[nsubj, affect, dobj, levels, nn]",2.0,36.0
78,(nadh/dt-diaphorase),"[dobj, inhibitors, nsubj]",18.0,10.0
79,(etoposide/adam10),"[prep_by, unaffected, nsubj, secretion, prep_of]",2.0,71.0
80,(bleomycin/syndecan-4),"[nsubj, suppress, dobj, activation, amod]",23.0,57.0
81,(epirubicin/udp-glucuronosyltransferase),"[amod, intake, prep_during]",14.0,0.0
82,(glimepiride/drip205),"[nsubj, inhibited, ccomp]",14.0,105.0
83,(clenbuterol/beta3),"[prep_by, promoter, amod]",10.0,35.0
84,(clenbuterol/beta2),"[nn, formation, amod]",0.0,57.0
85,(rosiglitazone/pepck),"[nsubj, change, dobj, expression, prep_of]",8.0,0.0
86,(baclofen/proenkephalin),"[prep_of, presence, prep_in, culturing, agent, obtained, nsubjpass, cells, prep_with, phenotype, nn]",2.0,56.0
87,(enalapril/icam-1),"[nsubj, suppressed, ccomp, repair, dobj, proteins, appos]",14.0,117.0
88,(doxazosin/alpha1),"[nsubj, inhibit, dobj, activity, amod]",6.0,77.0
89,(cyclosporin/cox-2),"[appos, agonists, prep_of]",14.0,63.0
90,(propofol/beta-endorphin),"[appos, analogs, nn]",26.0,0.0
91,(n-acetylcysteine/mst1),"[prep_of, presence, prep_in, increased, agent]",20.0,119.0
92,(sevoflurane/cd31),"[amod, uptake, prep_on]",14.0,116.0
93,(dexamethasone/atrogin-1),"[amod, assays, nn]",26.0,0.0
94,(rosuvastatin/ho-1),"[nsubj, trigger, dobj, activation, amod]",27.0,0.0
95,(halothane/herg),"[dep, treatment, prep_with, agonist, nn]",11.0,10.0
96,(resveratrol/atf3),"[nsubj, reduce, dobj, expression, amod]",25.0,110.0
97,(indomethacin/crth2),"[agent, increased, nsubjpass, activity, amod]",10.0,0.0
98,(cloxacillin/clox),"[amod, levomepromazine, rcmod, inhibitor, nn]",5.0,36.0
99,(irap/gga1),"[prep_with, sites, appos]",23.0,0.0
100,(carbachol/ins-1),"[prep_of, effects, dobj, abrogated, prep_on]",2.0,10.0
101,(aprotinin/tfpi),"[appos, agonist, prep_for, receptors, num]",23.0,0.0
102,(atra/pedf),"[amod, inhibitors, appos]",29.0,111.0
103,(fenamates/icat),"[prep_to, catalyzes, nsubj]",14.0,78.0
104,(dexamethasone/igf-ii),"[nsubj, increased, dobj, concentrations, amod]",2.0,20.0
105,(camptothecin/trex1),"[agent, induced, partmod, phosphate, amod]",18.0,20.0
106,(epirubicin/filgrastim),"[appos, drug, amod, selective, amod]",14.0,10.0
107,(thyroxine/dheas),"[nsubj, enhanced, dobj, degradation, prep_of]",15.0,10.0
108,(modafinil/orexin),"[prep_by, inhibition, xsubj, activity, amod]",2.0,0.0
109,(ketanserin/herg),"[nn, treatment, nsubj, increased, dobj, activity, nn]",23.0,73.0
110,(pge2/tlr4),"[prep_on, receptors, num]",2.0,0.0
111,(bisphosphonates/ppiase),"[nsubj, stimulator, prep_of, activity, nn]",14.0,57.0
112,(coumarin/cyp3a4),"[prep_of, activity, appos]",19.0,0.0
113,(il-2/il2r),"[amod, treatment, prep_after, reduced, nsubjpass, expression, nn]",24.0,65.0
114,(naloxone/nocistatin),"[xsubj, substrate, prep_for]",18.0,0.0
115,(doxycycline/slc26a4),"[prep_to, resistance, prep_of, level, xcomp, confers, nsubj, deficiency, prep_of]",2.0,15.0
116,(colchicine/etanercept),"[nsubj, antibody, partmod, directed, prep_against, isoforms, prep_of, factor, appos]",6.0,20.0
117,(atra/restin),"[prep_in, release, amod]",2.0,10.0
118,(paclitaxel/trpa1),"[prep_of, properties, nsubj]",13.0,20.0
119,(fosinopril/aquaporin-1),"[dep, estradiol, amod, effect, prep_on, expression, prep_of, receptor, appos]",18.0,1.0
120,(ng-monomethyl-l-arginine/inos),"[dep, ca, dep]",3.0,10.0
121,(rapamycin/cxcl12),"[nn, combination, amod]",26.0,62.0
122,(flunitrazepam/dheas),"[appos, agonist, prep_of, receptor, appos]",2.0,31.0
123,(busulfan/caf1),"[nsubj, decrease, dobj, levels, nn]",23.0,124.0
124,(il-1ra/il-1rn),"[prep_with, treated, nsubjpass, cells, nn]",24.0,113.0
125,(il-1rn/il-1ra),"[prep_of, concentration, dep]",25.0,0.0
126,(il-11/cd62l),"[nsubj, shows, dobj]",18.0,46.0
127,(estradiol/tebg),"[partmod, directed, prep_against]",21.0,44.0
128,(clarithromycin/il-13),"[dep, sphingomyelinase, amod, agents, prep_with, treated, partmod, cells, rcmod, decrease, dobj, secretion, amod]",29.0,25.0
129,(capsaicin/cyclooxygenase-2),"[prep_with, treated, nsubjpass, children, prep_with]",25.0,98.0
130,(estradiol/eag1),"[xsubj, inhibitor, dep, acyltransferase, appos]",23.0,0.0
131,(levofloxacin/cyp1a2),"[dep, imatinib, rcmod, mediated, prep_through, activation, prep_of]",23.0,0.0
132,(pilocarpine/znt3),"[nsubj, drug, nn]",18.0,10.0
133,(cyclosporine/hif-1alpha),"[nsubj, had, dobj, effect, prep_on, level, nn]",8.0,116.0
134,(octreotide/adrenocorticotropin),"[appos, antibody, dep, receptor, appos]",26.0,61.0
135,(l-dopa/ghrh),"[nsubj, probe, prep_for]",22.0,60.0
136,(triiodothyronine/mgpdh),"[nsubj, stabilize, dobj, protein, amod]",8.0,89.0
137,(norepinephrine/gnrh),"[nsubj, block, dobj, release, prep_of]",26.0,68.0
138,(methoxamine/enos),"[nn, resistance, prep_with, associated, nsubjpass, expression, nn]",14.0,79.0
139,(pgi2/pga1),"[partmod, stimulated, dobj]",10.0,1.0
140,(atorvastatin/klf2),"[nn, isothiocyanate, dobj, using, xcomp, measured, nsubjpass, expression, prep_of]",14.0,105.0
141,(protamine/fa-1),"[dobj, reduced, nsubj]",2.0,84.0
142,(hydrocortisone/brca1),"[appos, antagonist, amod]",23.0,58.0
143,(calcidiol/osteocalcin),"[prep_with, treatment, appos, inhibitor, nn]",23.0,92.0
144,(progestogens/gnrh),"[nsubj, act, prep_as, inhibitor, nn]",0.0,58.0
145,(etanercept/cgrp),"[amod, resistance, nsubj, correlated, parataxis, albicans, num]",14.0,35.0
146,(minocycline/cd16),"[prep_of, effects, num]",18.0,78.0
147,(minocycline/cd14),"[appos, antibody, prep_against, protein, nn]",18.0,100.0
148,(mirtazapine/bdnf),"[prep_of, presence, prep_in, produced, nsubj]",2.0,92.0
149,(topiramate/cgrp),"[dep, receptors, nn]",23.0,58.0
150,(naringenin/rankl),"[amod, treatment, prep_of]",18.0,87.0
151,(lapatinib/her1),"[nsubj, stimulated, dobj, release, prep_of]",22.0,0.0
152,(lapatinib/her2),"[amod, treatment, prep_on]",25.0,9.0
153,(lapatinib/her3),"[nsubj, inhibitor, appos, inhibitor, nn]",23.0,99.0
154,(spermine/etbr),"[partmod, agonist, nn]",23.0,0.0
155,(sulfasalazine/gm-csf),"[appos, blocker, nn]",8.0,0.0
156,(eplerenone/at1r),"[nsubj, promoted, dobj, translocation, prep_of]",8.0,0.0
157,(tranylcypromine/cyp2a6),"[amod, polypeptide, appos]",28.0,121.0
158,(pge2/il-13),"[agent, upregulated, nsubjpass]",4.0,0.0
159,(pge2/il-15),"[nsubjpass, transported, advcl, transported, agent]",25.0,26.0
160,(pge2/il-10),"[prep_in, cancer, appos]",10.0,0.0
161,(pramipexole/hoct1),"[amod, agonists, appos]",14.0,0.0
162,(pge2/il-11),"[nn, rantes, appos]",10.0,108.0
163,(pge2/il-17),"[nsubj, enhanced, dobj, phosphorylation, nn]",7.0,17.0
164,(pge2/il-18),"[prep_of, metabolism, amod]",7.0,18.0
165,(bisphosphonate/pthrp),"[prep_of, degradation, appos]",2.0,17.0
166,(cisplatin/ghsr),"[amod, treatment, nsubj, decreased, dobj]",1.0,7.0
167,(rofecoxib/icer),"[nsubj, inhibits, dobj, association, prep_of]",11.0,0.0
168,(flurbiprofen/ml-1),"[xsubj, inhibit, dobj, release, nn]",18.0,0.0
169,(sulfasalazine/sasp),"[amod, substrates, num]",0.0,12.0
170,(taurine/nt-3),"[prep_such_as, activity, amod]",14.0,0.0
171,(trastuzumab/cd24),"[nsubjpass, reported, prep_to]",2.0,7.0
172,(octreotide/hsst),"[nsubj, has, dobj, effect, prep_on, level, amod]",2.0,0.0
173,(pioglitazone/en-rage),"[dep, aripiprazole, dep, inhibitors, amod]",23.0,0.0
174,(pge2/il-27),"[nsubj, showed, prep_in]",25.0,98.0
175,(torasemide/cyp2c9),"[prep_than, had, nsubj]",18.0,0.0
176,(nadh/oxidoreductase),"[acomp, ligand, partmod, gamma, amod]",0.0,0.0
177,(hyaluronidase/has1),"[nsubj, antibody, prep_to]",2.0,98.0
178,(pge2/il-23),"[amod, syndromes, nsubj, group, prep_of, errors, prep_of, synthesis, dep, arginine, dep, deficiency, appos]",8.0,0.0
179,(corticosteroids/copd),"[nsubjpass, administered, parataxis, administered, nsubjpass]",0.0,0.0
180,(rapamycin/ikappabalpha),"[prep_to, required, nsubjpass]",23.0,81.0
181,(il-2/ip-10),"[prep_by, attenuated, dobj, activation, amod]",10.0,0.0
182,(paclitaxel/gm-csf),"[appos, gelatinase, appos]",26.0,12.0
183,(camptothecin/rgs2),"[nsubj, increased, dobj, levels, prep_of, mrnas, amod]",5.0,17.0
184,(pgi2/pgdh),"[prep_for, affinity, amod]",18.0,20.0
185,(cisplatin/yb-1),"[amod, treatment, prep_in]",2.0,81.0
186,(perifosine/pc-3),"[nn, epo, nn]",14.0,91.0
187,(teicoplanin/g-csf),"[prep_by, inhibited, nsubj, activation, amod]",13.0,86.0
188,(g-csf/bfgf),"[nsubjpass, used, prep_for, treatment, prep_of]",2.0,109.0
189,(il-11/tlr4),"[prep, than, pcomp, in, pobj]",2.0,119.0
190,(perindopril/niddm),"[prep_on, patients, nn]",23.0,119.0
191,(il-11/tlr2),"[amod, treatment, agent, increased, nsubjpass, level, nn]",2.0,17.0
192,(trastuzumab/cd44),"[pobj, by, prep, inhibited, nsubj, secretion, nn]",19.0,0.0
193,(fibrates/pparalpha),"[prep_of, influence, nsubjpass, concluded, agent, competition, prep_with]",0.0,112.0
194,(tropisetron/cyp2d6),"[nn, synthase, nn]",16.0,2.0
195,(gp120/gp160),"[nsubj, had, dobj, effects, prep_on, activity, amod]",0.0,22.0
196,(norepinephrine/acpd),"[nsubj, attenuated, dobj, effect, prep_of]",2.0,22.0
197,(dexamethasone/visfatin),"[amod, vitrectomy, nn]",23.0,22.0
198,(fluorescein/cd11b),"[prep_of, synthesis, appos]",2.0,22.0
199,(desipramine/5-ht1c),"[nn, treatment, prep_without, increased, nsubjpass, expression, prep_of, mrna, amod]",23.0,22.0
200,(valsartan/oat3),"[prep_to, confers, nsubj]",6.0,22.0
201,(dexamethasone/hc11),"[nn, resistance, dobj, confers, nsubj]",18.0,0.0
202,(dexamethasone/ck19),"[nn, axis, nn]",8.0,57.0
203,(phenytoin/calmodulin),"[amod, outcomes, dobj, predicting, prepc_of, means, prep_as, proposed, nsubjpass, surveillance, prep_of, markers, prep_for, mutations, prep_in, reductase, appos]",22.0,11.0
204,(simvastatin/cd40l),"[xsubj, cells, partmod, overexpressing, dobj]",15.0,47.0
205,(rituximab/fsgs),"[nn, concentrations, nsubj]",3.0,0.0
206,(noradrenaline/inositol),"[amod, molecule, appos]",26.0,0.0
207,(cabergoline/ml-1),"[nsubj, causes, dobj, secretion, prep_of]",14.0,0.0
208,(pgi2/pgd2),"[prep_with, injected, dep]",0.0,0.0
209,(phenytoin/il-1),"[nsubj, form, prep_of]",10.0,16.0
210,(minocycline/bace1),"[amod, mesylate, appos, inhibitor, amod]",14.0,0.0
211,(dexamethasone/bdnf),"[prep_among, genotypes, num]",23.0,85.0
212,(mexiletine/cyp2d6),"[amod, protein, amod]",19.0,0.0
213,(torsemide/cyp2c9),"[nsubj, attenuated, dobj, activity, nn]",19.0,20.0
214,(haloperidol/creb),"[nn, concentration, appos]",14.0,35.0
215,(suramin/s1p3),"[nsubj, inhibited, dobj, expression, nn]",22.0,0.0
216,(pentamidine/hapt1),"[nsubj, antagonists, nn]",27.0,0.0
217,(aprotinin/tgfbeta),"[dep, alpha, dep, beta, amod]",9.0,0.0
218,(2-methoxyestradiol/hif-1),"[prep_of, properties, num]",18.0,0.0
219,(tranilast/trpv2),"[nsubj, stimulated, dobj, transport, nn]",22.0,3.0
220,(nadh/ndufv1),"[conj_plus, docetaxel, prep_of, combination, nsubj, regimen, prep_as]",24.0,0.0
221,(vinorelbine/paris),"[nsubj, inhibited, dobj, function, prep_of]",23.0,0.0
222,(glyburide/apoe),"[prep_to, displayed, nsubj, cells, partmod, overexpressing, dobj]",0.0,0.0
223,(n-acetylcysteine/copd),"[prep_by, phosphorylation, amod]",0.0,0.0
224,(capsaicin/rankl),"[prep_of, clearance, appos]",17.0,0.0
225,(raloxifene/caveolin-1),"[amod, binds, prep_to]",7.0,0.0
226,(isoflurane/cd11a),"[prep_with, treated, partmod, patients, prep_in, expression, appos, expression, dep, investigate, dobj, significance, prep_of, kras, appos]",18.0,0.0
227,(carbachol/carb),"[amod, member, appos]",17.0,0.0
228,(troglitazone/glut4),"[appos, activity, prep_with, performed, dobj, analysis, prep_of, selectivity, nn]",2.0,0.0
229,(terbutaline/beta2),"[nsubj, act, prep_via]",10.0,0.0
230,(indinavir/mtor),"[agent, reduced, nsubjpass, expression, prep_of]",18.0,0.0
231,(noradrenaline/inos),"[nn, a, nn]",18.0,0.0
232,(adomet/gnmt),"[nsubj, suppress, dobj, expression, amod]",15.0,0.0
233,(etoposide/bcl-2),"[nsubj, ligand, prep_of]",1.0,0.0
234,(troglitazone/skp2),"[prep_in, expression, amod]",18.0,0.0
235,(cisplatin/ercc1),"[amod, antagonists, num]",0.0,0.0
236,(il-1ra/inos),"[prep_in, assay, nn]",14.0,0.0
237,(chlorambucil/mrp1),"[nsubj, increased, dobj, production, prep_of]",14.0,0.0
238,(verapamil/mcp-1),"[nsubj, attenuated, dobj, effects, prep_of]",14.0,0.0
239,(l-arg/apoe),"[appos, eg, dep]",18.0,115.0
240,(tamoxifen/muc1),"[dobj, using, prep_as, probe, nn]",22.0,0.0
241,(raloxifene/igfbp-3),"[prep_of, elimination, prep_in, investigated, dobj, roles, prep_of]",1.0,24.0
242,(erlotinib/survivin),"[nsubj, potent, prep_than]",2.0,87.0
243,(dexamethasone/l-plastin),"[dep, drugs, nn]",23.0,0.0
244,(cyproheptadine/abc-c),"[appos, theophylline, appos]",14.0,0.0
245,(melatonin/tecta),"[agent, induced, partmod, expression, prep_of]",10.0,0.0
246,(buspirone/5-ht-1a),"[amod, group, prep_in, higher, nsubj]",14.0,0.0
247,(leflunomide/ifn-gamma),"[prep_through, expression, prep_of]",2.0,0.0
248,(bupropion/cyp2d6),"[amod, gene, prep_to, fused, partmod, gene, amod]",3.0,0.0
249,(dapsone/cyp2d6),"[nsubj, induces, dobj, activation, prep_of]",24.0,0.0
250,(theophylline/leukotriene),"[prep_of, absence, prep_in, increased, nsubj, overexpression, prep_of]",22.0,0.0
251,(paclitaxel/cyp3a),"[appos, inhibitor, amod, specific, amod]",11.0,0.0
252,(ornithine/pote),"[appos, presence, dep, receptor, rcmod, responds, prep_by, kinase, appos]",14.0,66.0
253,(glutaraldehyde/cacl),"[nsubjpass, associated, prep_with]",14.0,78.0
254,(norepinephrine/alpha-amylase),"[prep, but, dep]",2.0,0.0
255,(norepinephrine/comt),"[prep_of, production, dobj, enhanced, nsubj]",11.0,77.0
256,(dexamethasone/fgf10),"[nsubj, upregulate, dobj, expression, prep_of]",23.0,0.0
257,(glyburide/iddm),"[nsubj, caused, prep_by]",14.0,0.0
258,(icil-1ra/il-1),"[prep_as, effective, nsubj]",0.0,46.0
259,(primaquine/cyp1a1),"[amod, formation, amod]",2.0,0.0
260,(metyrapone/cyp1a1),"[nn, c, nn]",8.0,115.0
261,(fludarabine/g-csf),"[amod, activator, dobj, inhibits, nsubj]",0.0,0.0
262,(staurosporine/pdgfr-alpha),"[amod, administration, nsubj, decreased, dobj, levels, nn]",2.0,99.0
263,(minocycline/iba1),"[amod, type, dep]",1.0,99.0
264,(atorvastatin/erk1),"[amod, marker, amod]",17.0,95.0
265,(azathioprine/filgrastim),"[prep_on, generation, amod]",23.0,85.0
266,(clonidine/cyp2d6),"[appos, inhibitor, prep_for]",14.0,85.0
267,(aciclovir/peri),"[nsubj, promotes, dobj, accumulation, nn]",6.0,0.0
268,(glcnac/calcitonin),"[prep_with, treated, partmod, patients, prep_in, performed, nsubjpass, genotyping, nn]",18.0,0.0
269,(rapamycin/fk506-binding),"[nn, treatment, nsubj, increased, dobj, phosphorylation, prep_of]",18.0,87.0
270,(pranlukast/rantes),"[agent, upregulated, xsubj]",26.0,0.0
271,(leucovorin/cpg2),"[prep_of, discontinuation, appos]",2.0,24.0
272,(methotrexate/bcrp),"[prep_of, effects, prep_on, production, amod]",6.0,17.0
273,(genistein/hcn2),"[prep_of, efflux, dobj, mediates, nsubj]",18.0,0.0
274,(ibandronate/calcitonin),"[nn, promoter, prep_of, stimulation, nsubj, kinases, amod, dependent, prep_on, stimulation, prep_of, activity, prep_of, receptor, prep_by, protein, nn]",23.0,87.0
275,(5-asa/ml-1),"[xsubj, alter, dobj, expression, amod]",23.0,48.0
276,(sulindac/mda-7),"[prep_by, inhibited, dobj, induction, amod]",14.0,89.0
277,(quetiapine/abcb1),"[prep_by, unaffected, parataxis, inhibited, dobj, production, amod]",2.0,0.0
278,(gefitinib/her3),"[prep_of, efflux, amod]",5.0,0.0
279,(gefitinib/her2),"[nsubj, decreased, dobj, expression, nn]",22.0,0.0
280,(ornithine/glucose-6-phosphatase),"[amod, induced, nsubj]",2.0,99.0
281,(prednisolone/g-csf),"[prep_on, concentration, prep_of]",2.0,0.0
282,(meth/chrnb2),"[nsubj, inhibited, prep_from, cells, amod]",18.0,0.0
283,(il-1ra/il-1f7),"[prep_for, showed, nsubj]",22.0,0.0
284,(spermine/ssat),"[nsubj, showed, prep_on]",3.0,0.0
285,(ivermectin/mdr1),"[prep_by, evaluated, dobj, effects, prep_of, inhibition, prep_of]",11.0,122.0
286,(isoproterenol/fmlp),"[prep_for, represent, nsubj]",23.0,0.0
287,(corticotrophin/avpr1b),"[amod, decarboxylase, appos]",0.0,0.0
288,(dipyridamole/nf-kappab),"[nsubj, modulates, dobj, expression, prep_of]",20.0,0.0
289,(genistein/pld1),"[amod, peptide, amod]",5.0,0.0
290,(icatibant/kallikrein),"[dep, analog, appos, substrate, amod]",14.0,0.0
291,(17-beta/kallikrein),"[prep_in, expression, nn]",2.0,103.0
292,(nitroprusside/hsp70),"[prep_like, inhibitors, num]",18.0,81.0
293,(norepinephrine/cort),"[prep_such_as, inhibitor, appos]",23.0,81.0
294,(protamine/phospholipase),"[agent, involved, nsubjpass, induction, prep_of]",5.0,0.0
295,(clomiphene/gnrh),"[agent, stimulated, partmod, release, nn]",2.0,0.0
296,(creatine/asat),"[nn, synthesis, prep_in, involved, nsubjpass]",7.0,46.0
297,(naloxone/alpha-msh),"[nsubj, exerts, dobj, effect, prep_on]",23.0,0.0
298,(erythromycin/nadph),"[agent, affected, nsubjpass, levels, nn]",11.0,61.0
299,(antipyrine/cyp3a),"[nsubj, inhibits, dobj, phosphorylation, nn]",2.0,111.0
300,(meth/chrna4),"[nsubj, had, dobj]",23.0,0.0
301,(captopril/ho-1),"[appos, receptors, nn]",14.0,24.0
302,(febuxostat/cyp2c8),"[dep, antagonism, nsubj, had, advcl, depressed, nsubj, inhibitors, amod]",6.0,24.0
303,(imipramine/ugt1a3),"[amod, block, prep_of, channels, nn]",4.0,24.0
304,(imipramine/ugt1a4),"[appos, factor, prep_with, collected, nsubjpass, cells, nn]",19.0,37.0
305,(indomethacin/dgat),"[dep, alpha, dep, alpha, dep]",23.0,0.0
306,(flurbiprofen/cyclooxygenase-1),"[nsubj, augment, dobj, production, amod]",12.0,0.0
307,(ramelteon/mt-1),"[prep_of, action, dep]",0.0,17.0
308,(allopurinol/copd),"[prep_on, production, appos]",2.0,0.0
309,(ramelteon/mt-2),"[appos, activity, amod]",0.0,119.0
310,(aprotinin/par1),"[xsubj, inhibit, dobj, secretion, nn]",11.0,117.0
311,(curcumin/tlr-4),"[prep_on, regulation, prep_of]",8.0,61.0
312,(dexfenfluramine/niddm),"[amod, blocks, nsubj]",0.0,0.0
313,(cefadroxil/hpept1),"[nn, sodium, appos]",14.0,98.0
314,(propofol/nicotinamide),"[prep_on, site, amod]",21.0,98.0
315,(clozapine/srebp-2),"[amod, head, appos]",29.0,99.0
316,(amd3100/tff3),"[nsubj, modify, advcl, produced, prep_on, content, nn]",14.0,77.0
317,(urokinase/mmp9),"[nsubj, causes, dobj, inhibition, prep_of]",26.0,0.0
318,(ornithine/arginase-1),"[nsubj, inhibited, dobj, activity, amod, enzymatic, amod]",10.0,87.0
319,(il-2/ku80),"[nn, concentration, nsubj]",18.0,0.0
320,(hydroxyurea/cds1),"[appos, factor, dep]",17.0,0.0
