,druggene,row_indice
389,"(mirtazapine,bdnf)",148
390,"(topiramate,cgrp)",149
394,"(naringenin,rankl)",150
395,"(lapatinib,her1)",151
401,"(lapatinib,her2)",152
420,"(lapatinib,her3)",153
421,"(spermine,etbr)",154
422,"(sulfasalazine,gm-csf)",155
423,"(eplerenone,at1r)",156
424,"(tranylcypromine,cyp2a6)",157
426,"(pge2,il-13)",158
430,"(pge2,il-15)",159
432,"(pge2,il-10)",160
445,"(pramipexole,hoct1)",161
446,"(pge2,il-11)",162
447,"(pge2,il-17)",163
450,"(pge2,il-18)",164
452,"(bisphosphonate,pthrp)",165
453,"(cisplatin,ghsr)",166
454,"(rofecoxib,icer)",167
456,"(flurbiprofen,ml-1)",168
457,"(sulfasalazine,sasp)",169
460,"(taurine,nt-3)",170
461,"(trastuzumab,cd24)",171
462,"(octreotide,hsst)",172
463,"(pioglitazone,en-rage)",173
464,"(pge2,il-27)",174
467,"(torasemide,cyp2c9)",175
468,"(nadh,oxidoreductase)",176
503,"(hyaluronidase,has1)",177
504,"(pge2,il-23)",178
505,"(corticosteroids,copd)",179
544,"(rapamycin,ikappabalpha)",180
545,"(il-2,ip-10)",181
546,"(paclitaxel,gm-csf)",182
548,"(camptothecin,rgs2)",183
549,"(pgi2,pgdh)",184
550,"(cisplatin,yb-1)",185
551,"(perifosine,pc-3)",186
552,"(teicoplanin,g-csf)",187
553,"(g-csf,bfgf)",188
554,"(il-11,tlr4)",189
555,"(perindopril,niddm)",190
556,"(il-11,tlr2)",191
557,"(trastuzumab,cd44)",192
559,"(fibrates,pparalpha)",193
573,"(tropisetron,cyp2d6)",194
576,"(gp120,gp160)",195
579,"(norepinephrine,acpd)",196
580,"(dexamethasone,visfatin)",197
581,"(fluorescein,cd11b)",198
582,"(desipramine,5-ht1c)",199
584,"(valsartan,oat3)",200
585,"(dexamethasone,hc11)",201
586,"(dexamethasone,ck19)",202
587,"(phenytoin,calmodulin)",203
588,"(simvastatin,cd40l)",204
589,"(rituximab,fsgs)",205
597,"(noradrenaline,inositol)",206
608,"(cabergoline,ml-1)",207
609,"(pgi2,pgd2)",208
617,"(phenytoin,il-1)",209
618,"(minocycline,bace1)",210
619,"(dexamethasone,bdnf)",211
620,"(mexiletine,cyp2d6)",212
624,"(torsemide,cyp2c9)",213
626,"(haloperidol,creb)",214
627,"(suramin,s1p3)",215
628,"(pentamidine,hapt1)",216
630,"(aprotinin,tgfbeta)",217
631,"(2-methoxyestradiol,hif-1)",218
632,"(tranilast,trpv2)",219
633,"(nadh,ndufv1)",220
634,"(vinorelbine,paris)",221
635,"(glyburide,apoe)",222
636,"(n-acetylcysteine,copd)",223
637,"(capsaicin,rankl)",224
638,"(raloxifene,caveolin-1)",225
640,"(isoflurane,cd11a)",226
642,"(carbachol,carb)",227
644,"(troglitazone,glut4)",228
645,"(terbutaline,beta2)",229
646,"(indinavir,mtor)",230
647,"(noradrenaline,inos)",231
648,"(adomet,gnmt)",232
649,"(etoposide,bcl-2)",233
651,"(troglitazone,skp2)",234
652,"(cisplatin,ercc1)",235
661,"(il-1ra,inos)",236
663,"(chlorambucil,mrp1)",237
664,"(verapamil,mcp-1)",238
666,"(l-arg,apoe)",239
667,"(tamoxifen,muc1)",240
668,"(raloxifene,igfbp-3)",241
669,"(erlotinib,survivin)",242
671,"(dexamethasone,l-plastin)",243
672,"(cyproheptadine,abc-c)",244
673,"(melatonin,tecta)",245
674,"(buspirone,5-ht-1a)",246
675,"(leflunomide,ifn-gamma)",247
676,"(bupropion,cyp2d6)",248
681,"(dapsone,cyp2d6)",249
682,"(theophylline,leukotriene)",250
686,"(paclitaxel,cyp3a)",251
689,"(ornithine,pote)",252
690,"(glutaraldehyde,cacl)",253
691,"(norepinephrine,alpha-amylase)",254
692,"(norepinephrine,comt)",255
695,"(dexamethasone,fgf10)",256
696,"(glyburide,iddm)",257
698,"(icil-1ra,il-1)",258
701,"(primaquine,cyp1a1)",259
702,"(metyrapone,cyp1a1)",260
703,"(fludarabine,g-csf)",261
707,"(staurosporine,pdgfr-alpha)",262
708,"(minocycline,iba1)",263
709,"(atorvastatin,erk1)",264
710,"(azathioprine,filgrastim)",265
711,"(clonidine,cyp2d6)",266
712,"(aciclovir,peri)",267
713,"(glcnac,calcitonin)",268
714,"(rapamycin,fk506-binding)",269
717,"(pranlukast,rantes)",270
719,"(leucovorin,cpg2)",271
720,"(methotrexate,bcrp)",272
722,"(genistein,hcn2)",273
723,"(ibandronate,calcitonin)",274
724,"(5-asa,ml-1)",275
725,"(sulindac,mda-7)",276
726,"(quetiapine,abcb1)",277
727,"(gefitinib,her3)",278
728,"(gefitinib,her2)",279
730,"(ornithine,glucose-6-phosphatase)",280
731,"(prednisolone,g-csf)",281
732,"(meth,chrnb2)",282
733,"(il-1ra,il-1f7)",283
734,"(spermine,ssat)",284
737,"(ivermectin,mdr1)",285
739,"(isoproterenol,fmlp)",286
741,"(corticotrophin,avpr1b)",287
742,"(dipyridamole,nf-kappab)",288
743,"(genistein,pld1)",289
745,"(icatibant,kallikrein)",290
746,"(17-beta,kallikrein)",291
747,"(nitroprusside,hsp70)",292
748,"(norepinephrine,cort)",293
749,"(protamine,phospholipase)",294
750,"(clomiphene,gnrh)",295
752,"(creatine,asat)",296
754,"(naloxone,alpha-msh)",297
755,"(erythromycin,nadph)",298
757,"(antipyrine,cyp3a)",299
758,"(meth,chrna4)",300
759,"(captopril,ho-1)",301
760,"(febuxostat,cyp2c8)",302
761,"(imipramine,ugt1a3)",303
762,"(imipramine,ugt1a4)",304
764,"(indomethacin,dgat)",305
765,"(flurbiprofen,cyclooxygenase-1)",306
766,"(ramelteon,mt-1)",307
767,"(allopurinol,copd)",308
768,"(ramelteon,mt-2)",309
769,"(aprotinin,par1)",310
771,"(curcumin,tlr-4)",311
772,"(dexfenfluramine,niddm)",312
773,"(cefadroxil,hpept1)",313
774,"(propofol,nicotinamide)",314
776,"(clozapine,srebp-2)",315
777,"(amd3100,tff3)",316
778,"(urokinase,mmp9)",317
780,"(ornithine,arginase-1)",318
781,"(il-2,ku80)",319
782,"(hydroxyurea,cds1)",320
785,"(hydrocortisone,nadph)",321
786,"(noradrenaline,preproendothelin-1)",322
787,"(il-2,nkg2d)",323
792,"(irinotecan,ces2)",324
793,"(melatonin,eef-2)",325
794,"(lamotrigine,ugt1a4)",326
796,"(l-tryptophan,lfa-1)",327
797,"(naringenin,tslp)",328
799,"(capsaicin,ml-1)",329
800,"(dexamethasone,gpr103)",330
801,"(iloprost,mmp-13)",331
802,"(carbachol,muc5ac)",332
804,"(estradiol,osteonectin)",333
805,"(raloxifene,ki-67)",334
808,"(4-methylpyrazole,hepcidin)",335
809,"(curcumin,nf-kappab)",336
858,"(econazole,demethylase)",337
859,"(fk506,fkbp-13)",338
861,"(bevacizumab,igfbp3)",339
862,"(fk506,fkbp-12)",340
872,"(azathioprine,tpmt)",341
876,"(haloperidol,cyp2d6)",342
884,"(dexamethasone,pepck)",343
890,"(fk506,birc5)",344
891,"(resveratrol,4e-bp1)",345
892,"(l-dopa,ghbp)",346
893,"(methoxsalen,demethylase)",347
894,"(dexamethasone,aigf)",348
895,"(cisplatin,ho-1)",349
898,"(hyaluronidase,lectin)",350
899,"(indomethacin,bdnf)",351
900,"(anakinra,il-1)",352
920,"(promethazine,calmodulin)",353
921,"(cefoxitin,il-1)",354
922,"(spironolactone,g6pd)",355
923,"(dhea,cgrp)",356
924,"(pravastatin,hcar)",357
925,"(dhea,map2c)",358
926,"(l-arg,melas)",359
927,"(triiodothyronine,gastrin)",360
928,"(norepinephrine,hif-1alpha)",361
931,"(metformin,as160)",362
932,"(nilutamide,aromatase)",363
933,"(arsenite,ape1)",364
934,"(vancomycin,sdhd)",365
935,"(trilostane,pgdh)",366
936,"(indomethacin,visfatin)",367
937,"(doxorubicin,survivin)",368
940,"(thiopental,reticulum)",369
941,"(adomet,comt)",370
942,"(desloratadine,inos)",371
943,"(verapamil,nm23)",372
945,"(tamoxifen,nadph)",373
947,"(protamine,tnp2)",374
949,"(theophylline,copd)",375
962,"(apap,sulfotransferase)",376
963,"(nadh,ndufc2)",377
964,"(secretin,calcitonin)",378
967,"(doxazosin,abca1)",379
969,"(lamivudine,mdr1)",380
970,"(dhea,sig-1r)",381
971,"(nifedipine,phhi)",382
972,"(clomipramine,swds)",383
973,"(gm-csf,mip1a)",384
974,"(thyroxine,atpo)",385
975,"(sulindac,cdc25)",386
976,"(hyaluronidase,beta-d-glucuronidase)",387
977,"(isoproterenol,rep-2)",388
978,"(fluvoxamine,cyp3a4)",389
980,"(nebivolol,egfr)",390
981,"(propranolol,aa-nat)",391
982,"(cidofovir,mrp4)",392
983,"(sunitinib,pc-3)",393
984,"(lindane,cx43)",394
985,"(atorvastatin,hucrp)",395
986,"(methimazole,cyp1a2)",396
987,"(medroxyprogesterone,copd)",397
988,"(atorvastatin,slco1b1)",398
989,"(prednisone,p-gp)",399
991,"(sertraline,torin)",400
992,"(propranolol,nefa)",401
994,"(bicalutamide,tlr9)",402
996,"(mifepristone,pibf)",403
997,"(antiandrogens,lhrh)",404
999,"(il-11,pi3k)",405
1000,"(prednisone,casp)",406
1001,"(triiodothyronine,aromatase)",407
1002,"(cisplatin,hmg1)",408
1003,"(prostacyclin,cyclooxygenase-1)",409
1006,"(prostacyclin,cyclooxygenase-2)",410
1013,"(aldosterone,a-ii)",411
1015,"(lenalidomide,amyloidosis)",412
1019,"(doxycycline,mmp-8)",413
1021,"(noradrenaline,proenkephalin)",414
1023,"(doxycycline,mmp-9)",415
1029,"(doxorubicin,mir-145)",416
1030,"(amprenavir,sap2)",417
1031,"(methotrexate,ki-67)",418
1032,"(doxycycline,mmp-3)",419
1034,"(l-tyrosine,oxidoreductase)",420
1037,"(pranlukast,il-10)",421
1038,"(doxycycline,mmp-2)",422
1060,"(gp120,mmp-9)",423
1061,"(irbesartan,herg)",424
1062,"(rifaximin,cyp3a)",425
1063,"(meth,cx3cr1)",426
1064,"(cilostazol,cd62p)",427
1067,"(sevoflurane,gapdh)",428
1068,"(dexamethasone,oct1)",429
1069,"(osi-774,egfr)",430
1072,"(raloxifene,cox-1)",431
1073,"(minocycline,nk1r)",432
1074,"(fibrates,mcp-1)",433
1075,"(chlorhexidine,mmp-2)",434
1076,"(dexamethasone,gc-1)",435
1077,"(dapsone,cyp2c9)",436
1079,"(terbinafine,ml-1)",437
1080,"(raloxifene,enos)",438
1085,"(imipenem,ml-1)",439
1087,"(lidocaine,glyt1)",440
1088,"(piroxicam,cox1)",441
1089,"(halothane,calmodulin)",442
1090,"(vx-770,cftr)",443
1092,"(dexamethasone,plzf)",444
1093,"(oxandrolone,hdl2)",445
1094,"(etanercept,pkd2)",446
1095,"(perindopril,vegf)",447
1096,"(delavirdine,cyp3a4)",448
1099,"(raloxifene,igf-i)",449
1103,"(bupropion,cyp2b6)",450
1108,"(noradrenaline,il-1ra)",451
1109,"(coumarin,cyp2b6)",452
1110,"(n-acetylcysteine,nadph)",453
1112,"(imiquimod,angptl4)",454
1113,"(topotecan,bcrp)",455
1117,"(aldosterone,per1)",456
1120,"(aldosterone,per2)",457
1122,"(aminophenazone,demethylase)",458
1124,"(taurine,kallikrein)",459
1126,"(camptothecin,bcl-2)",460
1128,"(pargyline,maoa)",461
1129,"(paclitaxel,nfkappab)",462
1130,"(nebivolol,adiponectin)",463
1131,"(mithramycin,dynamin)",464
1132,"(l-arg,pax2)",465
1133,"(cis-diamminedichloroplatinum,hsp90)",466
1134,"(fk506,nf-kappab)",467
1137,"(g-csf,il-1)",468
1152,"(aldosterone,dheas)",469
1153,"(coumarin,cyp2c9)",470
1154,"(beta-estradiol,irf-1)",471
1155,"(taurine,glyrs)",472
1160,"(il-2,g-csf)",473
1172,"(g-csf,il-5)",474
1174,"(artemisinin,aldh1)",475
1175,"(carbachol,ap-1)",476
1177,"(sulfasalazine,nfkappab)",477
1179,"(citalopram,p-selectin)",478
1180,"(melphalan,amyloidosis)",479
1191,"(atra,pfn1)",480
1192,"(il-2,mart-1)",481
1193,"(amiodarone,oatp2)",482
1194,"(finasteride,mmp-9)",483
1195,"(dexamethasone,gas1)",484
1196,"(cyproheptadine,5-ht2a)",485
1197,"(diclofenac,ikappabalpha)",486
1198,"(hyaluronan,vegf)",487
1199,"(coumarin,cyp2a3)",488
1200,"(coumarin,cyp2a6)",489
1214,"(colchicine,il-1)",490
1222,"(bleomycin,cox-2)",491
1223,"(minocycline,caspase-1)",492
1225,"(minocycline,caspase-3)",493
1228,"(nadh,ogdc)",494
1229,"(lutein,bcl-xl)",495
1230,"(ticlopidine,vegf)",496
1231,"(staurosporine,gastrin)",497
1232,"(epoprostenol,cd62p)",498
1234,"(clonazepam,tspo)",499
1235,"(atra,bcl-2)",500
1246,"(hemin,ho-2)",501
1247,"(hemin,ho-1)",502
1286,"(gemcitabine,mir-214)",503
1287,"(sunitinib,st-2)",504
1288,"(etanercept,il-1)",505
1291,"(dexamethasone,papp-a)",506
1292,"(urokinase,kallikrein)",507
1293,"(epoxides,cyp2c9)",508
1294,"(capsaicin,trpv1)",509
1360,"(dexamethasone,beta-catenin)",510
1363,"(estradiol,icb-1)",511
1364,"(isoproterenol,grk2)",512
1367,"(bicalutamide,egfr)",513
1369,"(n-acetyl-d-glucosamine,endo-beta-n-acetylglucosaminidase)",514
1370,"(rapamycin,mcl-1)",515
1371,"(suramin,igf-i)",516
1372,"(midazolam,trh-r)",517
1373,"(amantadine,pmps)",518
1374,"(eserine,hce-2)",519
1375,"(atra,irs-1)",520
1377,"(paroxetine,rab4a)",521
1378,"(nimesulide,pd-l1)",522
1380,"(pioglitazone,cd40l)",523
1381,"(desipramine,hspc)",524
1382,"(xanthines,beta-endorphin)",525
1383,"(staurosporine,smad2)",526
1384,"(apap,srbc)",527
1385,"(omeprazole,cholinesterase)",528
1386,"(suramin,cox-2)",529
1387,"(clofibrate,aconitase)",530
1388,"(hydroxychloroquine,cox-2)",531
1389,"(valsartan,cox-2)",532
1390,"(verapamil,p100)",533
1391,"(losartan,nhe3)",534
1393,"(paclitaxel,apollo)",535
1394,"(prostacyclin,gm-csf)",536
1395,"(fk-506,fkbp38)",537
1396,"(oxytocin,sf-1)",538
1397,"(meth,ap-1)",539
1398,"(roxithromycin,e-selectin)",540
1399,"(fluorescein,cd13)",541
1400,"(cyclosporine,hnf4alpha)",542
1402,"(colchicine,l-selectin)",543
1403,"(fluorescein,cd15)",544
1404,"(valdecoxib,cyp2d6)",545
1405,"(fluorescein,cd14)",546
1406,"(carvedilol,il-10)",547
1410,"(ranitidine,parvalbumin)",548
1411,"(fluorescein,cd16)",549
1412,"(simvastatin,rhoa)",550
1420,"(simvastatin,rhob)",551
1422,"(allopregnanolone,dheas)",552
1423,"(ketoconazole,aipc)",553
1425,"(4-methylpyrazole,cyp2e1)",554
1428,"(pge2,mucin)",555
1430,"(fasudil,kip1)",556
1431,"(fasudil,mcp-1)",557
1432,"(theophyllin,hsp90)",558
1433,"(menadione,sapk)",559
1436,"(corticotrophin,gnrh)",560
1437,"(ramelteon,cyp1a2)",561
1438,"(isoproterenol,lhrh)",562
1440,"(nitrendipine,gastrin)",563
1441,"(acetazolamide,calcitonin)",564
1442,"(fk-506,fkbp12)",565
1444,"(oltipraz,pai-1)",566
1447,"(letrozole,ncam)",567
1448,"(lansoprazole,mdr1)",568
1449,"(tamoxifen,er-beta)",569
1450,"(epoxides,cyp2d6)",570
1451,"(g-csf,ip-10)",571
1452,"(clodronate,fgf2)",572
1453,"(astemizole,heag1)",573
1454,"(perazine,cyp1a2)",574
1458,"(rosiglitazone,acsl4)",575
1459,"(cysteamine,bdnf)",576
1460,"(nitrofurantoin,bcrp)",577
1462,"(paclitaxel,b7-h3)",578
1463,"(varenicline,icer)",579
1464,"(picrotoxin,bdnf)",580
1465,"(tranilast,ctgf)",581
1467,"(gm-csf,ml-1)",582
1472,"(epoxides,cyp2e1)",583
1473,"(chloramphenicol,alpha-amylase)",584
1476,"(sevoflurane,cars)",585
1477,"(resveratrol,bcl-2)",586
1486,"(cisplatin,beta-glucuronidase)",587
1487,"(celecoxib,egfr)",588
1488,"(indomethacin,pla2)",589
1492,"(infliximab,visfatin)",590
1493,"(capsaicin,rac1)",591
1494,"(clopidogrel,p2y12)",592
1516,"(simvastatin,bcl-2)",593
1522,"(il-2,beta-galactosidase)",594
1523,"(citrulline,padi4)",595
1524,"(dexamethasone,gamma-glutamyltransferase)",596
1526,"(genistein,bdnf)",597
1528,"(betaine,cyclooxygenase-2)",598
1529,"(spironolactone,aromatase)",599
1530,"(cimetidine,cyp1a2)",600
1533,"(atorvastatin,apoa1)",601
1534,"(theophylline,bhmt)",602
1536,"(metformin,prkaa)",603
1537,"(fosfomycin,nf-kappab)",604
1541,"(hyaluronan,inter-alpha-trypsin)",605
1543,"(teicoplanin,il-1)",606
1544,"(ranolazine,cyp3a)",607
1545,"(dexamethasone,txnip)",608
1546,"(everolimus,nets)",609
1548,"(selegiline,cyp2b6)",610
1550,"(il-2,bfgf)",611
1552,"(corticosteroids,muc1)",612
1553,"(urokinase,csf-1)",613
1554,"(ivermectin,p-gp)",614
1558,"(resveratrol,bcl-x)",615
1559,"(pirbuterol,beta2)",616
1560,"(dexamethasone,ppar-gamma)",617
1564,"(fluorescein,cd38)",618
1565,"(guanidine,ifn-gamma)",619
1566,"(clotrimazole,kcnn4)",620
1567,"(fluorescein,cd33)",621
1568,"(coumarin,cyp2d6)",622
1569,"(sevoflurane,caspase-3)",623
1570,"(forskolin,rap1gap)",624
1571,"(tamoxifen,survivin)",625
1573,"(clodronate,mt1-mmp)",626
1575,"(metyrapone,cyp11b)",627
1576,"(tamoxifen,gnrh)",628
1577,"(diuretics,iddm)",629
1578,"(doxorubicin,nadph)",630
1580,"(clofibrate,ppar)",631
1588,"(infliximab,bdnf)",632
1589,"(lovastatin,hmgcr)",633
1590,"(thyrotropin,adrenocorticotropin)",634
1591,"(albuterol,fcer2)",635
1592,"(entacapone,p22phox)",636
1593,"(fluorescein,cd45)",637
1595,"(coumarin,cyp2e1)",638
1596,"(estradiol,e-selectin)",639
1598,"(lansoprazole,cyp2c19)",640
1611,"(medroxyprogesterone,mtor)",641
1612,"(hyaluronan,op-1)",642
1613,"(mifepristone,il-18)",643
1614,"(fluorescein,sp-a)",644
1615,"(nutlin-3,tp53)",645
1616,"(creatine,glut4)",646
1617,"(lidocaine,cyp3)",647
1618,"(bortezomib,cip2a)",648
1621,"(propranolol,egr1)",649
1625,"(nifedipine,il-10)",650
1626,"(cyclosporine,hp55)",651
1627,"(calcipotriol,amps)",652
1628,"(amd3100,cxcl12)",653
1632,"(capsaicin,trpa1)",654
1633,"(atra,let-7a-3)",655
1634,"(indomethacin,akr1c3)",656
1637,"(orlistat,glp-1)",657
1639,"(rapamycin,icam-1)",658
1640,"(omeprazole,cyp2c19)",659
1666,"(indomethacin,akr1c1)",660
1667,"(dexamethasone,eotaxin)",661
1675,"(pirenzepine,ghrh)",662
1676,"(fk-506,trpc6)",663
1677,"(cisapride,cyp2c19)",664
1678,"(glimepiride,pi3-kinase)",665
1679,"(hesperidin,oatp1a2)",666
1680,"(isoproterenol,kallikrein)",667
1681,"(bortezomib,drak1)",668
1682,"(atra,adam28)",669
1683,"(beta-estradiol,cabp9k)",670
1684,"(salmeterol,il-1)",671
1685,"(curcumin,ck1alpha)",672
1686,"(propranolol,mucin)",673
1687,"(estradiol,pc-3)",674
1689,"(arsenite,gadd153)",675
1690,"(haloperidol,cyp3a4)",676
1693,"(paclitaxel,tacc3)",677
1694,"(bleomycin,caveolin-1)",678
1695,"(diketopiperazine,oct2)",679
1696,"(clozapine,5-ht1c)",680
1700,"(vancomycin,statin)",681
1701,"(clozapine,5-ht1a)",682
1703,"(clozapine,5-ht1b)",683
1704,"(prednisolone,il-5)",684
1706,"(fluvoxamine,cyp2d6)",685
1709,"(nitroprusside,beta-induced)",686
1710,"(indomethacin,beta-catenin)",687
1713,"(nateglinide,dpp-4)",688
1714,"(metformin,mtor)",689
1718,"(prednisolone,il-1)",690
1719,"(mesalamine,nat1)",691
1720,"(mesalamine,nat2)",692
1721,"(eptifibatide,beta3)",693
1722,"(phenytoin,agas)",694
1723,"(rapamycin,fbxw7)",695
1724,"(tacrolimus,etanercept)",696
1725,"(atra,tig3)",697
1726,"(riluzole,vglut1)",698
1727,"(6-mercaptopurine,p-gp)",699
1728,"(vincristine,gstm1)",700
1729,"(rosiglitazone,ppar-gamma)",701
1750,"(gm-csf,rankl)",702
1752,"(dhea,il-1)",703
1753,"(arsenite,ikappabalpha)",704
1756,"(creatine,ldh1)",705
1757,"(aldosterone,rgs4)",706
1758,"(doxorubicin,mtor)",707
1759,"(aldosterone,rgs2)",708
1760,"(prednisone,cholinesterase)",709
1761,"(melatonin,kip1)",710
1762,"(desferrioxamine,atf3)",711
1763,"(primidone,ml-1)",712
1764,"(everolimus,il-10)",713
1765,"(estradiol,icam-1)",714
1766,"(rosiglitazone,pept1)",715
1767,"(gm-csf,mip1)",716
1768,"(fluorouracil,ki-67)",717
1769,"(fluvastatin,slco1b1)",718
1770,"(hyal-1,hyal1)",719
1771,"(fibrates,statin)",720
1773,"(mithramycin,nf-kappab)",721
1774,"(fluoroquinolones,copd)",722
1775,"(rapamycin,pc-3)",723
1779,"(chloramphenicol,gnrh)",724
1780,"(delavirdine,cyp2d6)",725
1781,"(curcumin,nrf2)",726
1784,"(docetaxel,bcl-2)",727
1790,"(doxorubicin,nil2a)",728
1791,"(clozapine,ml-1)",729
1792,"(gemfibrozil,acyltransferase)",730
1793,"(anastrozole,atac)",731
1794,"(cisplatin,e2f1)",732
1795,"(tamoxifen,comt)",733
1796,"(estradiol,appd)",734
1797,"(peroxides,cyp2s1)",735
1798,"(metformin,runx2)",736
1799,"(vildagliptin,dpp4)",737
1801,"(hydroxyurea,ccr4)",738
1802,"(pravastatin,hoat3)",739
1803,"(alfentanil,cyp3a5)",740
1804,"(telmisartan,reticulum)",741
1805,"(alfentanil,cyp3a4)",742
1807,"(amiloride,enacalpha)",743
1808,"(sparteine,cyp2c19)",744
1809,"(pravastatin,hoat1)",745
1810,"(troglitazone,adiponectin)",746
1812,"(praziquantel,ccl3)",747
1813,"(genistein,fgf-2)",748
1814,"(clozapine,tspo)",749
1815,"(econazole,trpv5)",750
1817,"(cisplatin,erk2)",751
1819,"(paclitaxel,ctgf)",752
1820,"(l-ornithine,otase)",753
1821,"(estradiol,apoe)",754
1822,"(rapamycin,reticulum)",755
