,path,column_indice
23356,"[prep_with, treatment, prep_of, mice, nn]",17
3277,"[nn, group, prep_in, higher, nsubj]",18
11669,"[nn, group, prep_in, higher, nsubj]",18
10497,"[prep_on, modulation, prep_of]",19
21899,"[prep_on, modulation, prep_of]",19
26628,"[prep_into, metabolized, agent]",20
15258,"[prep_into, metabolized, agent]",20
20248,"[prep_such_as, ligands, nn]",21
6610,"[prep_such_as, ligands, nn]",21
24728,"[prep_such_as, ligands, nn]",21
22183,"[prep_such_as, ligands, nn]",21
15623,"[prep_such_as, ligands, nn]",21
20641,"[nsubj, antagonised, dobj, response, amod]",22
16315,"[nsubj, antagonised, dobj, response, amod]",22
7687,"[nsubj, drugs, nn]",23
21734,"[nsubj, drugs, nn]",23
1554,"[nsubj, drugs, nn]",23
21062,"[appos, inhibitor, nsubj, blocks, dobj, phosphorylation, nn]",24
16429,"[appos, inhibitor, nsubj, blocks, dobj, phosphorylation, nn]",24
6420,"[nsubj, binding, prep_to]",25
15758,"[nsubj, binding, prep_to]",25
18128,"[nsubj, alter, dobj, mrna, amod]",26
27781,"[nsubj, alter, dobj, mrna, amod]",26
18003,"[nsubj, increased, dobj, level, nn]",27
7721,"[nsubj, increased, dobj, level, nn]",27
3003,"[nsubj, increased, dobj, level, nn]",27
5954,"[nn, resistance, prep_to, contribute, nsubj]",28
5919,"[nn, resistance, prep_to, contribute, nsubj]",28
2015,"[dobj, received, prep_without]",29
27376,"[dobj, received, prep_without]",29
12941,"[nsubj, causes, prepc_by, inhibiting, dobj]",30
8169,"[nsubj, causes, prepc_by, inhibiting, dobj]",30
1799,"[nsubj, causes, prepc_by, inhibiting, dobj]",30
22740,"[prep_to, exposed, nsubjpass, cells, nn]",31
5978,"[prep_to, exposed, nsubjpass, cells, nn]",31
13436,"[nsubj, has, prep_in, contrast, prep_to]",32
18918,"[nsubj, has, prep_in, contrast, prep_to]",32
25828,"[prep_such_as, inhibitors, appos]",33
12460,"[prep_such_as, inhibitors, appos]",33
21522,"[prep_such_as, inhibitors, appos]",33
29389,"[prep_such_as, inhibitors, appos]",33
15452,"[prep_such_as, inhibitors, appos]",33
20351,"[prep_such_as, inhibitors, appos]",33
27589,"[prep_such_as, inhibitors, appos]",33
7999,"[prep_such_as, inhibitors, appos]",33
15779,"[prep_such_as, inhibitors, appos]",33
13592,"[prep_such_as, inhibitors, appos]",33
19085,"[prep_such_as, inhibitors, appos]",33
19265,"[prep_such_as, inhibitors, appos]",33
23513,"[prep_such_as, inhibitors, appos]",33
28966,"[prep_such_as, inhibitors, appos]",33
16181,"[prep_such_as, inhibitors, appos]",33
16827,"[nsubj, decreased, pobj]",34
17476,"[nsubj, decreased, pobj]",34
20476,"[nsubj, decreased, pobj]",34
20295,"[prep_with, determined, dobj, structure, prep_of]",35
4888,"[prep_with, determined, dobj, structure, prep_of]",35
25475,"[prep_with, determined, dobj, structure, prep_of]",35
5955,"[nsubj, inhibitor, dep, inhibitor, nn]",36
21093,"[amod, element, nn]",37
28959,"[amod, element, nn]",37
4614,"[amod, element, nn]",37
23396,"[prep_with, relevant, advcl, studied, dobj, effect, prep_of, genotype, amod]",38
9976,"[prep_with, relevant, advcl, studied, dobj, effect, prep_of, genotype, amod]",38
13745,"[prep_of, case, prep_in]",39
3921,"[prep_of, case, prep_in]",39
27808,"[nsubj, inhibits, dobj, influx, amod]",40
1866,"[nsubj, inhibits, dobj, influx, amod]",40
11424,"[nn, treatment, prep_after, changed, nsubjpass, expression, nn]",41
12755,"[nn, treatment, prep_after, changed, nsubjpass, expression, nn]",41
19308,"[nsubj, effective, dep]",42
26696,"[nsubj, effective, dep]",42
24637,"[nn, acetate, amod]",43
19257,"[nn, acetate, amod]",43
13821,"[amod, sulfate, appos, substrate, prep_of]",44
14415,"[amod, sulfate, appos, substrate, prep_of]",44
15217,"[nsubj, blocked, prep_in, expression, nn]",45
2165,"[nsubj, blocked, prep_in, expression, nn]",45
15906,"[nsubj, blocked, prep_in, expression, nn]",45
15218,"[nsubj, blocked, prep_in, expression, nn]",45
24049,"[nsubj, blocked, prep_in, expression, nn]",45
15587,"[nsubj, blocked, prep_in, expression, nn]",45
1391,"[nsubj, blocked, prep_in, expression, nn]",45
4326,"[prep_with, treated, advcl, decreased, nsubjpass, levels, amod]",46
19380,"[prep_with, treated, advcl, decreased, nsubjpass, levels, amod]",46
11330,"[xsubj, release, dobj]",47
19893,"[xsubj, release, dobj]",47
29016,"[xsubj, release, dobj]",47
19403,"[xsubj, release, dobj]",47
20475,"[nn, resistance, nn]",48
3710,"[nn, resistance, nn]",48
22947,"[nn, resistance, nn]",48
24803,"[amod, hydroxylation, appos]",49
12431,"[amod, hydroxylation, appos]",49
14535,"[agent, reduced, nsubjpass, levels, prep_of]",50
27777,"[agent, reduced, nsubjpass, levels, prep_of]",50
15163,"[agent, reduced, nsubjpass, levels, prep_of]",50
15032,"[nsubj, blocked, dobj, ability, prep_of]",51
15012,"[nsubj, blocked, dobj, ability, prep_of]",51
9699,"[prep_of, effect, dobj, determine, prep_on, activity, amod]",52
16954,"[prep_of, effect, dobj, determine, prep_on, activity, amod]",52
3334,"[prep_of, effects, nn]",53
18828,"[nsubjpass, metabolized, prep_to, extent, prep_by]",54
8273,"[nsubjpass, metabolized, prep_to, extent, prep_by]",54
9365,"[nsubjpass, metabolized, prep_to, extent, prep_by]",54
15799,"[nsubjpass, metabolized, prep_to, extent, prep_by]",54
11866,"[nsubj, inhibited, dobj, current, nn]",55
4796,"[nsubj, inhibited, dobj, current, nn]",55
19497,"[prep_of, target, prep_of, inhibitor, appos]",56
25662,"[amod, prolactin, amod, sulfate, appos, globulin, appos]",57
8342,"[amod, prolactin, amod, sulfate, appos, globulin, appos]",57
8378,"[nsubj, reduced, dobj, protein, amod]",59
17094,"[nsubj, reduced, dobj, protein, amod]",59
10487,"[nsubj, reduced, dobj, protein, amod]",59
25287,"[nsubj, reduced, dobj, protein, amod]",59
22482,"[nsubj, reduced, dobj, protein, amod]",59
15472,"[xsubj, substrate, prep_of]",61
7948,"[xsubj, substrate, prep_of]",61
19171,"[xsubj, substrate, prep_of]",61
11608,"[xsubj, substrate, prep_of]",61
24793,"[dep, required, nsubjpass]",62
6733,"[dep, required, nsubjpass]",62
6797,"[amod, secretion, dobj, increasing, prepc_while, increased, nsubj, acth, amod]",63
21032,"[amod, secretion, dobj, increasing, prepc_while, increased, nsubj, acth, amod]",63
732,"[appos, methamphetamine, prep_with, conducted, dobj, analysis, prep_of, gene, appos]",64
758,"[appos, methamphetamine, prep_with, conducted, dobj, analysis, prep_of, gene, appos]",64
17079,"[agent, reduced, nsubjpass, response, nn]",65
17938,"[agent, reduced, nsubjpass, response, nn]",65
11808,"[prep_to, sensitive, nsubj, effects, prep_of]",66
168,"[prep_on, level, prep_of, mrna, nn]",67
176,"[prep_on, level, prep_of, mrna, nn]",67
6017,"[prep_on, level, prep_of, mrna, nn]",67
4274,"[dobj, receiving, xcomp, decreased, nsubjpass]",68
5054,"[dobj, receiving, xcomp, decreased, nsubjpass]",68
576,"[amod, subunits, prep_of]",69
21960,"[prep_by, receptors, nn]",70
21445,"[prep_on, receptor, appos]",71
6916,"[prep_on, receptor, appos]",71
11672,"[prep_on, receptor, appos]",71
2042,"[prep_on, receptor, appos]",71
13919,"[prep_on, receptor, appos]",71
15622,"[prep_on, receptor, appos]",71
9387,"[prep_on, receptor, appos]",71
22044,"[nn, accumulation, prep_in, cells, nn]",72
3528,"[nn, accumulation, prep_in, cells, nn]",72
9027,"[prep_to, comparable, amod]",73
18090,"[prep_to, comparable, amod]",73
27678,"[agent, increased, nsubjpass, levels, prep_of]",74
17513,"[agent, increased, nsubjpass, levels, prep_of]",74
9416,"[agent, increased, nsubjpass, levels, prep_of]",74
17379,"[prep_of, effect, dobj, showed, prep_on]",75
4401,"[prep_of, effect, dobj, showed, prep_on]",75
17505,"[prep_in, trial, nn]",76
17660,"[prep_in, trial, nn]",76
262,"[nsubj, affect, dobj, levels, nn]",77
29239,"[nsubj, affect, dobj, levels, nn]",77
3745,"[nsubj, affect, dobj, levels, nn]",77
9185,"[nsubj, affect, dobj, levels, nn]",77
15971,"[nsubj, affect, dobj, levels, nn]",77
23205,"[dobj, inhibitors, nsubj]",78
18647,"[dobj, inhibitors, nsubj]",78
18628,"[dobj, inhibitors, nsubj]",78
14823,"[dobj, inhibitors, nsubj]",78
12395,"[dobj, inhibitors, nsubj]",78
14903,"[dobj, inhibitors, nsubj]",78
23807,"[dobj, inhibitors, nsubj]",78
14392,"[dobj, inhibitors, nsubj]",78
401,"[dobj, inhibitors, nsubj]",78
22385,"[dobj, inhibitors, nsubj]",78
10874,"[dobj, inhibitors, nsubj]",78
20201,"[dobj, inhibitors, nsubj]",78
21262,"[dobj, inhibitors, nsubj]",78
14306,"[dobj, inhibitors, nsubj]",78
4211,"[dobj, inhibitors, nsubj]",78
6998,"[dobj, inhibitors, nsubj]",78
6317,"[dobj, inhibitors, nsubj]",78
6716,"[dobj, inhibitors, nsubj]",78
6462,"[prep_by, unaffected, nsubj, secretion, prep_of]",79
19197,"[prep_by, unaffected, nsubj, secretion, prep_of]",79
2002,"[nsubj, suppress, dobj, activation, amod]",80
809,"[nsubj, suppress, dobj, activation, amod]",80
1836,"[amod, intake, prep_during]",81
20541,"[amod, intake, prep_during]",81
16308,"[nsubj, inhibited, ccomp]",82
390,"[nsubj, inhibited, ccomp]",82
10647,"[nsubj, inhibited, ccomp]",82
22351,"[nsubj, inhibited, ccomp]",82
774,"[nsubj, inhibited, ccomp]",82
28441,"[nsubj, inhibited, ccomp]",82
25118,"[nsubj, inhibited, ccomp]",82
14274,"[nsubj, inhibited, ccomp]",82
26664,"[prep_by, promoter, amod]",83
10650,"[prep_by, promoter, amod]",83
18397,"[nn, formation, amod]",84
21718,"[nn, formation, amod]",84
21296,"[nn, formation, amod]",84
27057,"[nn, formation, amod]",84
2106,"[nsubj, change, dobj, expression, prep_of]",85
13653,"[nsubj, change, dobj, expression, prep_of]",85
11091,"[prep_of, presence, prep_in, culturing, agent, obtained, nsubjpass, cells, prep_with, phenotype, nn]",86
11094,"[prep_of, presence, prep_in, culturing, agent, obtained, nsubjpass, cells, prep_with, phenotype, nn]",86
8063,"[nsubj, suppressed, ccomp, repair, dobj, proteins, appos]",87
25659,"[nsubj, suppressed, ccomp, repair, dobj, proteins, appos]",87
13260,"[nsubj, inhibit, dobj, activity, amod]",88
1676,"[nsubj, inhibit, dobj, activity, amod]",88
14602,"[nsubj, inhibit, dobj, activity, amod]",88
19347,"[nsubj, inhibit, dobj, activity, amod]",88
15883,"[nsubj, inhibit, dobj, activity, amod]",88
10537,"[nsubj, inhibit, dobj, activity, amod]",88
2231,"[nsubj, inhibit, dobj, activity, amod]",88
16486,"[nsubj, inhibit, dobj, activity, amod]",88
26348,"[nsubj, inhibit, dobj, activity, amod]",88
6063,"[nsubj, inhibit, dobj, activity, amod]",88
27944,"[nsubj, inhibit, dobj, activity, amod]",88
14401,"[nsubj, inhibit, dobj, activity, amod]",88
5516,"[nsubj, inhibit, dobj, activity, amod]",88
11093,"[nsubj, inhibit, dobj, activity, amod]",88
12878,"[appos, agonists, prep_of]",89
559,"[appos, agonists, prep_of]",89
380,"[appos, analogs, nn]",90
14879,"[appos, analogs, nn]",90
26680,"[appos, analogs, nn]",90
9625,"[prep_of, presence, prep_in, increased, agent]",91
15957,"[prep_of, presence, prep_in, increased, agent]",91
19841,"[amod, uptake, prep_on]",92
18636,"[amod, uptake, prep_on]",92
4749,"[amod, assays, nn]",93
25785,"[amod, assays, nn]",93
14,"[amod, assays, nn]",93
28317,"[nsubj, trigger, dobj, activation, amod]",94
5937,"[nsubj, trigger, dobj, activation, amod]",94
13157,"[dep, treatment, prep_with, agonist, nn]",95
24562,"[dep, treatment, prep_with, agonist, nn]",95
24226,"[nsubj, reduce, dobj, expression, amod]",96
13535,"[nsubj, reduce, dobj, expression, amod]",96
13151,"[nsubj, reduce, dobj, expression, amod]",96
7973,"[agent, increased, nsubjpass, activity, amod]",97
14616,"[agent, increased, nsubjpass, activity, amod]",97
26693,"[agent, increased, nsubjpass, activity, amod]",97
1387,"[agent, increased, nsubjpass, activity, amod]",97
17597,"[amod, levomepromazine, rcmod, inhibitor, nn]",98
14150,"[amod, levomepromazine, rcmod, inhibitor, nn]",98
9379,"[prep_with, sites, appos]",99
8824,"[prep_with, sites, appos]",99
1761,"[prep_of, effects, dobj, abrogated, prep_on]",100
27345,"[prep_of, effects, dobj, abrogated, prep_on]",100
1977,"[appos, agonist, prep_for, receptors, num]",101
25811,"[amod, inhibitors, appos]",102
25684,"[amod, inhibitors, appos]",102
4182,"[amod, inhibitors, appos]",102
2532,"[amod, inhibitors, appos]",102
9909,"[amod, inhibitors, appos]",102
14108,"[amod, inhibitors, appos]",102
21399,"[amod, inhibitors, appos]",102
19704,"[amod, inhibitors, appos]",102
7154,"[amod, inhibitors, appos]",102
16402,"[amod, inhibitors, appos]",102
24965,"[amod, inhibitors, appos]",102
26186,"[amod, inhibitors, appos]",102
23667,"[amod, inhibitors, appos]",102
24491,"[amod, inhibitors, appos]",102
4002,"[amod, inhibitors, appos]",102
9008,"[amod, inhibitors, appos]",102
27719,"[amod, inhibitors, appos]",102
24598,"[amod, inhibitors, appos]",102
16023,"[amod, inhibitors, appos]",102
26679,"[prep_to, catalyzes, nsubj]",103
9025,"[prep_to, catalyzes, nsubj]",103
6841,"[prep_to, catalyzes, nsubj]",103
10929,"[prep_to, catalyzes, nsubj]",103
22119,"[prep_to, catalyzes, nsubj]",103
2136,"[prep_to, catalyzes, nsubj]",103
21840,"[nsubj, increased, dobj, concentrations, amod]",104
6214,"[nsubj, increased, dobj, concentrations, amod]",104
8165,"[nsubj, increased, dobj, concentrations, amod]",104
597,"[agent, induced, partmod, phosphate, amod]",105
18224,"[agent, induced, partmod, phosphate, amod]",105
24038,"[nsubj, enhanced, dobj, degradation, prep_of]",107
22854,"[nsubj, enhanced, dobj, degradation, prep_of]",107
16162,"[prep_by, inhibition, xsubj, activity, amod]",108
21304,"[prep_by, inhibition, xsubj, activity, amod]",108
18533,"[prep_by, inhibition, xsubj, activity, amod]",108
8829,"[nn, treatment, nsubj, increased, dobj, activity, nn]",109
25359,"[nn, treatment, nsubj, increased, dobj, activity, nn]",109
9614,"[prep_on, receptors, num]",110
14750,"[prep_on, receptors, num]",110
25073,"[prep_on, receptors, num]",110
16948,"[prep_on, receptors, num]",110
27675,"[nsubj, stimulator, prep_of, activity, nn]",111
12622,"[prep_of, activity, appos]",112
22476,"[prep_of, activity, appos]",112
3420,"[prep_of, activity, appos]",112
21643,"[prep_of, activity, appos]",112
18410,"[amod, treatment, prep_after, reduced, nsubjpass, expression, nn]",113
14515,"[amod, treatment, prep_after, reduced, nsubjpass, expression, nn]",113
29441,"[xsubj, substrate, prep_for]",114
28739,"[xsubj, substrate, prep_for]",114
19086,"[xsubj, substrate, prep_for]",114
25048,"[xsubj, substrate, prep_for]",114
8093,"[xsubj, substrate, prep_for]",114
25055,"[xsubj, substrate, prep_for]",114
20292,"[xsubj, substrate, prep_for]",114
29011,"[prep_to, resistance, prep_of, level, xcomp, confers, nsubj, deficiency, prep_of]",115
5536,"[prep_to, resistance, prep_of, level, xcomp, confers, nsubj, deficiency, prep_of]",115
18148,"[nsubj, antibody, partmod, directed, prep_against, isoforms, prep_of, factor, appos]",116
5995,"[prep_in, release, amod]",117
13763,"[prep_of, properties, nsubj]",118
2048,"[dep, estradiol, amod, effect, prep_on, expression, prep_of, receptor, appos]",119
19956,"[dep, estradiol, amod, effect, prep_on, expression, prep_of, receptor, appos]",119
379,"[dep, ca, dep]",120
26497,"[dep, ca, dep]",120
22891,"[nn, combination, amod]",121
29161,"[nn, combination, amod]",121
6681,"[nn, combination, amod]",121
21966,"[appos, agonist, prep_of, receptor, appos]",122
4402,"[nsubj, decrease, dobj, levels, nn]",123
15409,"[nsubj, decrease, dobj, levels, nn]",123
22641,"[nsubj, decrease, dobj, levels, nn]",123
9991,"[nsubj, decrease, dobj, levels, nn]",123
16272,"[prep_with, treated, nsubjpass, cells, nn]",124
1775,"[prep_with, treated, nsubjpass, cells, nn]",124
24429,"[prep_with, treated, nsubjpass, cells, nn]",124
18210,"[prep_with, treated, nsubjpass, cells, nn]",124
7626,"[prep_with, treated, nsubjpass, cells, nn]",124
8959,"[prep_with, treated, nsubjpass, cells, nn]",124
26470,"[prep_with, treated, nsubjpass, cells, nn]",124
6268,"[prep_with, treated, nsubjpass, cells, nn]",124
26354,"[prep_of, concentration, dep]",125
13299,"[prep_of, concentration, dep]",125
5764,"[prep_of, concentration, dep]",125
10438,"[nsubj, shows, dobj]",126
13964,"[partmod, directed, prep_against]",127
21668,"[partmod, directed, prep_against]",127
11306,"[dep, sphingomyelinase, amod, agents, prep_with, treated, partmod, cells, rcmod, decrease, dobj, secretion, amod]",128
14171,"[dep, sphingomyelinase, amod, agents, prep_with, treated, partmod, cells, rcmod, decrease, dobj, secretion, amod]",128
22681,"[prep_with, treated, nsubjpass, children, prep_with]",129
19483,"[prep_with, treated, nsubjpass, children, prep_with]",129
4319,"[xsubj, inhibitor, dep, acyltransferase, appos]",130
21185,"[xsubj, inhibitor, dep, acyltransferase, appos]",130
4962,"[dep, imatinib, rcmod, mediated, prep_through, activation, prep_of]",131
4756,"[dep, imatinib, rcmod, mediated, prep_through, activation, prep_of]",131
10414,"[dep, imatinib, rcmod, mediated, prep_through, activation, prep_of]",131
28177,"[nsubj, drug, nn]",132
28848,"[nsubj, drug, nn]",132
24274,"[nsubj, had, dobj, effect, prep_on, level, nn]",133
12777,"[nsubj, had, dobj, effect, prep_on, level, nn]",133
21724,"[appos, antibody, dep, receptor, appos]",134
19095,"[appos, antibody, dep, receptor, appos]",134
1640,"[nsubj, probe, prep_for]",135
2738,"[nsubj, probe, prep_for]",135
10588,"[nsubj, stabilize, dobj, protein, amod]",136
26705,"[nsubj, stabilize, dobj, protein, amod]",136
13315,"[nsubj, block, dobj, release, prep_of]",137
8485,"[nsubj, block, dobj, release, prep_of]",137
3363,"[nn, resistance, prep_with, associated, nsubjpass, expression, nn]",138
20762,"[nn, resistance, prep_with, associated, nsubjpass, expression, nn]",138
12932,"[partmod, stimulated, dobj]",139
16411,"[partmod, stimulated, dobj]",139
4694,"[partmod, stimulated, dobj]",139
5974,"[nn, isothiocyanate, dobj, using, xcomp, measured, nsubjpass, expression, prep_of]",140
180,"[nn, isothiocyanate, dobj, using, xcomp, measured, nsubjpass, expression, prep_of]",140
468,"[dobj, reduced, nsubj]",141
16813,"[dobj, reduced, nsubj]",141
4417,"[dobj, reduced, nsubj]",141
4377,"[appos, antagonist, amod]",142
28406,"[appos, antagonist, amod]",142
25985,"[appos, antagonist, amod]",142
682,"[appos, antagonist, amod]",142
20389,"[appos, antagonist, amod]",142
9132,"[appos, antagonist, amod]",142
3364,"[appos, antagonist, amod]",142
14645,"[appos, antagonist, amod]",142
15990,"[appos, antagonist, amod]",142
11459,"[appos, antagonist, amod]",142
11446,"[appos, antagonist, amod]",142
16788,"[appos, antagonist, amod]",142
25596,"[appos, antagonist, amod]",142
12081,"[appos, antagonist, amod]",142
16395,"[appos, antagonist, amod]",142
16155,"[appos, antagonist, amod]",142
28836,"[appos, antagonist, amod]",142
26162,"[appos, antagonist, amod]",142
2309,"[appos, antagonist, amod]",142
20957,"[appos, antagonist, amod]",142
8692,"[appos, antagonist, amod]",142
4538,"[appos, antagonist, amod]",142
1494,"[appos, antagonist, amod]",142
6862,"[appos, antagonist, amod]",142
15704,"[appos, antagonist, amod]",142
21841,"[appos, antagonist, amod]",142
8409,"[appos, antagonist, amod]",142
139,"[appos, antagonist, amod]",142
20565,"[appos, antagonist, amod]",142
4503,"[appos, antagonist, amod]",142
24345,"[appos, antagonist, amod]",142
21842,"[appos, antagonist, amod]",142
2943,"[appos, antagonist, amod]",142
18415,"[appos, antagonist, amod]",142
14938,"[appos, antagonist, amod]",142
24622,"[appos, antagonist, amod]",142
14286,"[appos, antagonist, amod]",142
7062,"[appos, antagonist, amod]",142
19123,"[appos, antagonist, amod]",142
26901,"[appos, antagonist, amod]",142
15443,"[appos, antagonist, amod]",142
10446,"[appos, antagonist, amod]",142
17961,"[appos, antagonist, amod]",142
23393,"[appos, antagonist, amod]",142
20266,"[appos, antagonist, amod]",142
18047,"[appos, antagonist, amod]",142
21500,"[appos, antagonist, amod]",142
18447,"[appos, antagonist, amod]",142
10862,"[appos, antagonist, amod]",142
10516,"[appos, antagonist, amod]",142
27502,"[appos, antagonist, amod]",142
10804,"[appos, antagonist, amod]",142
29400,"[appos, antagonist, amod]",142
21556,"[appos, antagonist, amod]",142
14270,"[appos, antagonist, amod]",142
24827,"[appos, antagonist, amod]",142
6130,"[appos, antagonist, amod]",142
7149,"[appos, antagonist, amod]",142
8282,"[appos, antagonist, amod]",142
29346,"[appos, antagonist, amod]",142
21928,"[appos, antagonist, amod]",142
17144,"[appos, antagonist, amod]",142
17171,"[appos, antagonist, amod]",142
17258,"[appos, antagonist, amod]",142
19795,"[appos, antagonist, amod]",142
8319,"[appos, antagonist, amod]",142
7054,"[appos, antagonist, amod]",142
20155,"[appos, antagonist, amod]",142
24036,"[appos, antagonist, amod]",142
9929,"[appos, antagonist, amod]",142
13041,"[appos, antagonist, amod]",142
291,"[appos, antagonist, amod]",142
11147,"[appos, antagonist, amod]",142
13051,"[appos, antagonist, amod]",142
21396,"[appos, antagonist, amod]",142
1177,"[prep_with, treatment, appos, inhibitor, nn]",143
27380,"[prep_with, treatment, appos, inhibitor, nn]",143
10642,"[nsubj, act, prep_as, inhibitor, nn]",144
19490,"[nsubj, act, prep_as, inhibitor, nn]",144
16122,"[amod, resistance, nsubj, correlated, parataxis, albicans, num]",145
11521,"[amod, resistance, nsubj, correlated, parataxis, albicans, num]",145
11518,"[amod, resistance, nsubj, correlated, parataxis, albicans, num]",145
18427,"[prep_of, effects, num]",146
7846,"[prep_of, presence, prep_in, produced, nsubj]",148
13677,"[prep_of, presence, prep_in, produced, nsubj]",148
27518,"[dep, receptors, nn]",149
13276,"[amod, treatment, prep_of]",150
15219,"[amod, treatment, prep_of]",150
3096,"[amod, treatment, prep_of]",150
20444,"[amod, treatment, prep_of]",150
20823,"[amod, treatment, prep_of]",150
589,"[amod, treatment, prep_of]",150
13781,"[amod, treatment, prep_of]",150
335,"[amod, treatment, prep_of]",150
16936,"[amod, treatment, prep_of]",150
1693,"[amod, treatment, prep_of]",150
2809,"[amod, treatment, prep_of]",150
26241,"[amod, treatment, prep_of]",150
24420,"[amod, treatment, prep_of]",150
25291,"[nsubj, stimulated, dobj, release, prep_of]",151
12353,"[nsubj, stimulated, dobj, release, prep_of]",151
13405,"[nsubj, stimulated, dobj, release, prep_of]",151
11844,"[amod, treatment, prep_on]",152
25143,"[amod, treatment, prep_on]",152
16894,"[amod, treatment, prep_on]",152
6428,"[amod, treatment, prep_on]",152
2521,"[amod, treatment, prep_on]",152
22606,"[amod, treatment, prep_on]",152
27220,"[amod, treatment, prep_on]",152
18563,"[nsubj, inhibitor, appos, inhibitor, nn]",153
17784,"[nsubj, inhibitor, appos, inhibitor, nn]",153
20742,"[partmod, agonist, nn]",154
7261,"[appos, blocker, nn]",155
19115,"[appos, blocker, nn]",155
13431,"[appos, blocker, nn]",155
12740,"[appos, blocker, nn]",155
12785,"[appos, blocker, nn]",155
27846,"[appos, blocker, nn]",155
6820,"[appos, blocker, nn]",155
26324,"[appos, blocker, nn]",155
3981,"[appos, blocker, nn]",155
7442,"[appos, blocker, nn]",155
3650,"[appos, blocker, nn]",155
14765,"[appos, blocker, nn]",155
21450,"[nsubj, promoted, dobj, translocation, prep_of]",156
20399,"[nsubj, promoted, dobj, translocation, prep_of]",156
10033,"[amod, polypeptide, appos]",157
13123,"[agent, upregulated, nsubjpass]",158
20621,"[agent, upregulated, nsubjpass]",158
20608,"[agent, upregulated, nsubjpass]",158
20590,"[agent, upregulated, nsubjpass]",158
28365,"[agent, upregulated, nsubjpass]",158
4120,"[agent, upregulated, nsubjpass]",158
15782,"[nsubjpass, transported, advcl, transported, agent]",159
3988,"[nsubjpass, transported, advcl, transported, agent]",159
6445,"[prep_in, cancer, appos]",160
11585,"[amod, agonists, appos]",161
17656,"[amod, agonists, appos]",161
26027,"[amod, agonists, appos]",161
27745,"[amod, agonists, appos]",161
29171,"[amod, agonists, appos]",161
5405,"[amod, agonists, appos]",161
16568,"[nn, rantes, appos]",162
27295,"[nn, rantes, appos]",162
27221,"[nn, rantes, appos]",162
20264,"[nsubj, enhanced, dobj, phosphorylation, nn]",163
22109,"[nsubj, enhanced, dobj, phosphorylation, nn]",163
29135,"[prep_of, metabolism, amod]",164
686,"[prep_of, metabolism, amod]",164
21105,"[prep_of, metabolism, amod]",164
2820,"[prep_of, metabolism, amod]",164
24841,"[prep_of, metabolism, amod]",164
20317,"[prep_of, metabolism, amod]",164
14551,"[prep_of, metabolism, amod]",164
13421,"[prep_of, metabolism, amod]",164
