"","label","count","pgkb","drugbank"
"155","(spermine,ck-1)",5,0,0
"156","(cisplatin,caspase-3)",65,0,0
"157","(atorvastatin,oatp1b1)",6,0,0
"158","(cisplatin,caspase-2)",6,0,0
"159","(urokinase,cd87)",33,0,1
"160","(rapamycin,huntingtin)",11,0,0
"161","(arsenite,hsp27)",23,0,0
"162","(propofol,ho-1)",13,0,0
"163","(dexamethasone,parp)",12,0,0
"164","(progestogens,gnrh)",11,0,0
"165","(resveratrol,ampk)",89,0,0
"166","(ketoconazole,cyp51)",14,0,0
"167","(pge2,ccr7)",8,0,0
"168","(mirtazapine,bdnf)",5,0,0
"169","(clofibrate,pparalpha)",50,0,1
"170","(captopril,kallikrein)",22,0,0
"171","(topiramate,cgrp)",9,0,0
"172","(desferrioxamine,hif-1alpha)",13,0,0
"173","(g-csf,fmlp)",21,0,0
"174","(ketoconazole,cyp3a)",110,0,0
"175","(lapatinib,her1)",19,1,1
"176","(lapatinib,her2)",134,1,1
"177","(cisplatin,chk1)",19,0,0
"178","(bleomycin,gm-csf)",14,0,0
"179","(pge2,il-13)",10,0,0
"180","(tranylcypromine,cyp2a6)",6,0,0
"181","(dexamethasone,secretagogin)",5,0,0
"182","(pge2,il-15)",7,0,0
"183","(pge2,il-10)",65,0,0
"184","(metformin,hoct1)",11,0,0
"185","(paclitaxel,il-10)",9,0,0
"186","(cisplatin,nf-kappab)",53,0,0
"187","(pge2,il-17)",21,0,0
"188","(pge2,il-18)",8,0,0
"189","(nadh,mononucleotide)",43,0,0
"190","(citrulline,inos)",51,0,1
"191","(simvastatin,pparalpha)",8,0,0
"192","(pge2,gm-csf)",54,0,0
"193","(paracetamol,cyclooxygenase-2)",6,1,1
"194","(metformin,mate1)",14,1,0
"195","(pge2,il-27)",5,0,0
"196","(nadh,oxidoreductase)",707,0,0
"197","(fenofibrate,rbp4)",8,0,0
"198","(pge2,il-23)",16,0,0
"199","(reteplase,alteplase)",55,0,0
"200","(alteplase,reteplase)",55,0,0
"201","(troglitazone,cyp1a1)",7,0,0
"202","(il-2,foxp3)",138,0,0
"203","(warfarin,hips)",8,0,0
"204","(corticosteroids,copd)",437,0,0
"205","(cisplatin,p-gp)",18,0,0
"206","(resveratrol,pparalpha)",6,0,0
"207","(valsartan,at1r)",10,0,1
"208","(cisplatin,yb-1)",30,0,0
"209","(indomethacin,pghs-1)",6,1,1
"210","(g-csf,cd34)",488,0,0
"211","(g-csf,bfgf)",7,0,0
"212","(5-asa,egfr)",5,0,0
"213","(trastuzumab,cd44)",8,0,0
"214","(venlafaxine,sert)",10,1,1
"215","(fibrates,pparalpha)",100,0,0
"216","(ranitidine,gastrin)",47,0,0
"217","(ketoconazole,cyp17)",6,0,0
"218","(tropisetron,cyp2d6)",11,0,0
"219","(gp120,gp160)",158,0,0
"220","(riluzole,hsf1)",13,0,0
"221","(rituximab,fsgs)",41,0,0
"222","(noradrenaline,inositol)",95,0,0
"223","(gm-csf,vegf)",43,0,0
"224","(rifabutin,cyp3a)",12,0,0
"225","(prasugrel,cyp2b6)",6,0,0
"226","(miglitol,alpha-glucosidase)",35,0,1
"227","(il-2,cd122)",34,0,1
"228","(pgi2,pgd2)",70,0,0
"229","(gm-csf,tlr2)",9,0,0
"230","(il-2,cd132)",10,0,1
"231","(mexiletine,cyp2d6)",8,1,0
"232","(torsemide,cyp2c9)",5,0,0
"233","(l-histidine,hnmt)",5,0,0
"234","(cabergoline,igf-i)",28,0,0
"235","(atra,trkb)",10,0,0
"236","(rapamycin,mmp-9)",8,0,0
"237","(tranylcypromine,bdnf)",7,0,0
"238","(curcumin,herg)",5,0,0
"239","(gm-csf,flt-3)",10,0,0
"240","(fk506,sp-a)",6,0,0
"241","(riluzole,cyp1a2)",6,0,0
"242","(gm-csf,egr-1)",30,0,0
"243","(rivastigmine,cholinesterase)",118,0,1
"244","(furafylline,cyp1a2)",26,0,0
"245","(l-dopa,mao-b)",20,0,0
"246","(l-dopa,mao-a)",7,0,0
"247","(terbutaline,beta2)",8,0,0
"248","(dexamethasone,nhe3)",22,0,0
"249","(capsaicin,cyp1a1)",9,0,0
"250","(noscapine,nf-kappab)",7,0,0
"251","(collagenase,mmp-13)",31,0,0
"252","(papaverine,pde10a)",10,0,1
"253","(fenofibrate,ppargamma)",6,0,0
"254","(etoposide,bcl-2)",48,0,0
"255","(galantamine,cholinesterase)",65,0,1
"256","(isoflurane,ho-1)",16,0,0
"257","(bortezomib,ikappabalpha)",12,0,0
"258","(cisplatin,ercc1)",117,0,0
"259","(fibrates,apoc-iii)",7,0,0
"260","(chlorambucil,mrp1)",9,0,0
"261","(forskolin,ampk)",15,0,0
"262","(cilomilast,pde4)",22,0,0
"263","(goserelin,lhrh)",36,0,0
"264","(roflumilast,pde4)",66,0,1
"265","(efalizumab,cd11a)",42,0,1
"266","(alprazolam,cyp3a)",10,0,0
"267","(isoproterenol,cgrp)",15,0,0
"268","(bupropion,cyp2d6)",14,0,0
"269","(ndga,leukotriene)",15,0,0
"270","(haloperidol,bdnf)",24,0,0
"271","(liraglutide,glp-1)",125,0,0
"272","(tofisopam,cyp3a4)",5,0,0
"273","(theophylline,leukotriene)",16,0,0
"274","(paclitaxel,cyp3a)",17,1,0
"275","(isoprenaline,pepck)",6,0,0
"276","(temsirolimus,mtor)",109,0,1
"277","(rizatriptan,5-ht1b)",19,0,1
"278","(novobiocin,bcrp)",6,0,0
"279","(dexamethasone,ngfr)",7,0,0
"280","(cyclosporin,inos)",16,0,0
"281","(norepinephrine,comt)",22,0,0
"282","(metformin,lkb1)",11,0,0
"283","(anticholinergics,beta2)",10,0,0
"284","(zafirlukast,leukotriene)",61,0,0
"285","(elacridar,p-gp)",15,1,0
"286","(troglitazone,cox-2)",9,0,0
"287","(estradiol,aromatase)",393,0,0
"288","(ribavirin,ent1)",15,1,0
"289","(icil-1ra,il-1)",26,0,0
"290","(indomethacin,abcc1)",6,0,0
"291","(metyrapone,cyp1a1)",10,0,0
"292","(5-asa,cox-2)",8,0,1
"293","(indomethacin,icam-1)",16,0,0
"294","(fludarabine,g-csf)",22,0,0
"295","(aldosterone,ace2)",6,0,0
"296","(fentanyl,p-gp)",16,0,0
"297","(menadione,egfr)",13,0,0
"298","(losartan,mmp-2)",10,0,0
"299","(riluzole,bcrp)",5,0,0
"300","(miconazole,herg)",6,0,1
"301","(quetiapine,abcb1)",6,0,0
"302","(furosemide,talh)",6,0,0
"303","(lapatinib,p-gp)",9,0,0
"304","(gefitinib,her3)",7,1,0
"305","(genistein,hif-1)",7,0,0
"306","(cisplatin,nm23-h1)",8,0,0
"307","(gefitinib,her2)",18,1,0
"308","(clarithromycin,cyp3a)",20,0,0
"309","(spermine,ssat)",42,0,0
"310","(diclofenac,cyp2c9)",85,1,0
"311","(capsaicin,igf-i)",27,0,0
"312","(arsenite,hsp72)",8,0,0
"313","(aldosterone,nedd4-2)",12,0,0
"314","(telmisartan,ppar-gamma)",50,0,1
"315","(pge2,cyp19)",9,0,0
"316","(icatibant,kallikrein)",15,0,0
"317","(curcumin,il-1)",8,0,0
"318","(norepinephrine,cort)",5,0,0
"319","(dextromethorphan,cyp2d6)",239,1,0
"320","(dasatinib,stat3)",11,0,0
"321","(capsaicin,glp-1)",11,0,0
"322","(clomiphene,gnrh)",60,0,0
"323","(tacrolimus,p-gp)",39,0,0
"324","(hyaluronidase,phospholipase)",18,0,0
"325","(creatine,asat)",13,0,0
"326","(naloxone,alpha-msh)",9,0,0
"327","(erythromycin,nadph)",6,0,0
"328","(dasatinib,stat5)",8,0,1
"329","(celecoxib,vegf)",28,1,0
"330","(oxycodone,cyp2d6)",30,1,0
"331","(celecoxib,tcf-1)",7,0,0
"332","(lactulose,beta-galactosidase)",7,0,0
"333","(rosiglitazone,cyp2c8)",14,0,0
"334","(fenofibrate,ppar-alpha)",36,1,1
"335","(curcumin,caspase-3)",40,0,0
"336","(imipramine,ugt1a4)",9,0,0
"337","(arsenite,hsp70)",34,0,0
"338","(capsaicin,cox-2)",11,0,0
"339","(taxanes,bcl-2)",13,0,0
"340","(tetrahydrobiopterin,enos)",106,0,1
"341","(aprotinin,par1)",12,0,0
"342","(dexfenfluramine,niddm)",6,0,0
"343","(tolcapone,catechol-o-methyltransferase)",47,0,1
"344","(corticotropin,crh-r1)",8,0,0
"345","(paclitaxel,pi3k)",8,0,0
"346","(spermine,phospholipase)",10,0,0
"347","(staurosporine,phospholipase)",30,0,0
"348","(calcitriol,fgf-23)",19,0,0
"349","(pge2,mpges-1)",94,0,0
"350","(infliximab,icer)",6,0,0
"351","(hydroxyurea,cds1)",13,0,0
"352","(troglitazone,ent1)",10,0,1
"353","(paracetamol,cox-2)",23,1,1
"354","(cisapride,herg)",42,0,1
"355","(paracetamol,cox-1)",12,1,1
"356","(il-2,nkg2d)",33,0,0
"357","(collagenase,timp)",113,0,0
"358","(pyridostigmine,igf-i)",5,0,0
"359","(curcumin,p-gp)",15,1,0
"360","(irinotecan,ces2)",12,1,0
"361","(simvastatin,cyr61)",5,0,0
"362","(lamotrigine,ugt1a4)",8,1,0
"363","(naringenin,tslp)",5,0,0
"364","(hemin,nrf2)",9,0,0
"365","(dexamethasone,phospholipase)",101,0,0
"366","(raloxifene,ki-67)",5,0,0
"367","(anticholinesterases,cholinesterase)",9,0,0
"368","(curcumin,nf-kappab)",231,0,0
"369","(fk506,fkbp-12)",45,0,1
"370","(quinacrine,phospholipase)",179,0,0
"371","(salbutamol,copd)",62,0,0
"372","(haloperidol,cyp2d6)",42,1,0
"373","(dhea,factor-1)",6,0,0
"374","(dexamethasone,pepck)",39,0,0
"375","(rosiglitazone,icam-1)",11,0,0
"376","(daunorubicin,dt-diaphorase)",6,0,0
"377","(il-2,cx3cr1)",5,0,0
"378","(cisplatin,ho-1)",24,0,0
"379","(anakinra,il-1)",99,0,0
"380","(debrisoquin,cyp2d6)",9,0,0
"381","(promethazine,calmodulin)",7,0,1
"382","(isoproterenol,beta-glucuronidase)",6,0,0
"383","(cyclophosphamide,cyp2b6)",26,1,0
"384","(g-csf,lenograstim)",33,0,0
"385","(lenograstim,g-csf)",33,0,0
"386","(buserelin,lhrh)",61,0,0
"387","(simvastatin,mcp-1)",18,0,0
"388","(genistein,mmp-9)",8,0,0
"389","(resveratrol,mcp-1)",21,0,0
"390","(epirubicin,g-csf)",34,0,0
"391","(fasudil,rhoa)",13,0,0
"392","(sunitinib,abcg2)",8,0,0
"393","(oxytocin,gnrh)",62,0,0
"394","(doxorubicin,survivin)",17,0,0
"395","(verapamil,nm23)",5,0,0
"396","(tamoxifen,nadph)",8,0,0
"397","(apap,sulfotransferase)",7,0,0
"398","(theophylline,copd)",152,0,0
"399","(secretin,calcitonin)",17,0,0
"400","(phenprocoumon,cyp2c9)",27,0,0
"401","(curcumin,caspase-8)",7,0,0
"402","(dextromethorphan,cyp2c9)",8,0,0
"403","(carbamazepine,cyp3a)",14,0,0
"404","(dexamethasone,pghs-2)",19,0,0
"405","(fluvoxamine,cyp3a4)",7,1,0
"406","(calcitriol,cyp24a1)",11,0,0
"407","(fenofibrate,enos)",12,0,0
"408","(colchicine,mdr1)",36,1,0
"409","(protamine,tfpi)",8,0,0
"410","(metoclopramide,gastrin)",5,0,0
"411","(prednisone,p-gp)",6,1,0
"412","(calcein,mrp1)",30,0,0
"413","(il-2,p-selectin)",6,0,0
"414","(hyaluronate,habp)",18,0,0
"415","(imipramine,cyp2c19)",13,1,0
"416","(pamidronate,calcitonin)",14,0,0
"417","(cisplatin,hmg1)",19,0,0
"418","(resveratrol,nadph)",9,0,0
"419","(prostacyclin,cyclooxygenase-1)",21,0,0
"420","(prostacyclin,cyclooxygenase-2)",25,0,0
"421","(hemin,bach1)",8,0,0
"422","(nafarelin,lhrh)",14,0,0
"423","(aldosterone,a-ii)",16,0,0
"424","(lenalidomide,amyloidosis)",15,0,0
"425","(pravastatin,abca1)",6,0,0
"426","(doxycycline,mmp-8)",15,0,0
"427","(carnitine,octn2)",201,0,1
"428","(carnitine,octn1)",30,0,1
"429","(doxycycline,mmp-9)",40,0,0
"430","(nateglinide,cyp2c9)",12,1,0
"431","(doxycycline,mmp-3)",6,0,0
"432","(corticosteroids,fsgs)",15,0,0
"433","(doxycycline,mmp-2)",46,0,0
"434","(bethanechol,gastrin)",12,0,0
"435","(ranibizumab,vegf-a)",23,0,1
"436","(l-tryptophan,rna-binding)",9,0,0
"437","(cetrorelix,lhrh)",26,0,0
"438","(cilostazol,cd62p)",7,0,0
"439","(il-2,ifn-alpha)",264,0,0
"440","(tramadol,cyp2d6)",66,1,0
"441","(propranolol,vegf)",9,0,0
"442","(riluzole,gdnf)",8,0,0
"443","(osi-774,egfr)",21,1,1
"444","(dexamethasone,gilz)",20,0,0
"445","(sn-38,abcg2)",27,0,0
"446","(moclobemide,cyp2c19)",7,1,0
"447","(rivastigmine,butyrylcholinesterase)",12,0,1
"448","(dapsone,cyp2c9)",14,0,0
"449","(raloxifene,enos)",17,0,0
"450","(estradiol,cyp3a4)",15,0,0
"451","(imipenem,ml-1)",6,0,0
"452","(aldosterone,as160)",6,0,0
"453","(g-csf,filgrastim)",111,0,0
"454","(filgrastim,g-csf)",111,0,0
"455","(halothane,calmodulin)",7,0,0
"456","(tamoxifen,mcp-1)",6,0,0
"457","(lovastatin,pten)",5,0,0
"458","(il-1ra,il1rn)",37,0,0
"459","(doxorubicin,bcl-2)",58,0,0
"460","(vincristine,mrp1)",29,0,0
"461","(buspirone,5-ht1a)",238,0,1
"462","(vatalanib,vegf)",16,0,0
"463","(perindopril,vegf)",6,0,0
"464","(delavirdine,cyp3a4)",8,0,0
"465","(raloxifene,igf-i)",13,0,0
"466","(propafenone,cyp2d6)",18,1,0
"467","(bupropion,cyp2b6)",62,1,0
"468","(thioridazine,calmodulin)",10,0,0
"469","(vasopressin,beta-endorphin)",22,0,0
"470","(n-acetylcysteine,nadph)",13,0,0
"471","(dexamethasone,aromatase)",53,0,0
"472","(topotecan,bcrp)",36,0,0
"473","(aldosterone,per1)",9,0,0
"474","(taurine,kallikrein)",5,0,0
"475","(paclitaxel,nfkappab)",6,0,0
"476","(dexamethasone,ifn-gamma)",66,0,0
"477","(estradiol,creb)",22,0,0
"478","(pge2,ml-1)",37,0,0
"479","(ribavirin,eif4e)",17,0,0
"480","(losartan,cyp2c9)",68,1,0
"481","(tolcapone,comt)",103,0,1
"482","(amitriptyline,trka)",7,0,1
"483","(colchicine,p-gp)",25,1,0
"484","(fk506,nf-kappab)",11,0,0
"485","(capsaicin,pi3k)",12,0,0
"486","(aldosterone,dheas)",8,0,0
"487","(g-csf,il-1)",125,0,0
"488","(quinidine,herg)",31,1,1
"489","(metformin,alpha-glucosidase)",18,0,0
"490","(aripiprazole,5-ht1a)",16,0,1
"491","(forskolin,raf-1)",7,0,0
"492","(etoposide,brca1)",8,0,0
"493","(taurine,glyrs)",16,0,0
"494","(il-2,g-csf)",35,0,0
"495","(forskolin,nachr)",8,0,0
"496","(g-csf,il-5)",11,0,0
"497","(hyaluronan,adiponectin)",6,0,0
"498","(carbachol,cgrp)",12,0,0
"499","(metyrapone,adrenocorticotropin)",5,0,0
"500","(doxazosin,pc-3)",10,0,0
"501","(tcgf,lymphokine)",8,0,0
"502","(il-2,cd86)",18,0,0
"503","(il-2,cd80)",46,0,0
"504","(clopidogrel,cyp2c19)",215,0,0
"505","(sunitinib,abcb1)",10,0,0
"506","(zileuton,leukotriene)",44,0,0
"507","(melphalan,amyloidosis)",87,0,0
"508","(troglitazone,cyp3a)",7,0,0
"509","(pge2,cox-2)",749,0,0
"510","(pioglitazone,ampk)",8,0,0
"511","(pge2,cox-1)",125,0,0
"512","(fk506,il-5)",5,0,0
"513","(vasopressin,v1br)",21,0,1
"514","(tacrolimus,fkbp-12)",8,0,1
"515","(paclitaxel,cox-2)",6,0,0
"516","(raloxifene,menin)",6,0,0
"517","(genistein,pc-3)",30,0,0
"518","(corticotropin,adrenocorticotropin)",19,0,0
"519","(coumarin,cyp2a6)",86,1,0
"520","(fk506,caspase-3)",6,0,0
"521","(colchicine,il-1)",24,0,0
"522","(artemisinin,cdk2)",7,0,0
"523","(bleomycin,cox-2)",6,0,0
"524","(artemisinin,cdk4)",9,0,0
"525","(minocycline,caspase-3)",14,0,1
"526","(hpth,pthrp)",16,0,0
"527","(octreotide,igf-i)",75,0,0
"528","(pge2,igf-i)",54,0,0
"529","(gp120,icam-1)",11,0,0
"530","(vorinostat,hdac)",57,0,0
"531","(prostacyclin,calcitonin)",8,0,0
"532","(isoflurane,lfa-1)",12,0,0
"533","(paroxetine,cyp2d6)",94,1,0
"534","(coxibs,cox-2)",164,1,0
"535","(coxibs,cox-1)",23,0,0
"536","(diclofenac,ugt2b7)",5,0,0
"537","(atra,bcl-2)",49,0,0
"538","(hemin,ho-2)",13,0,0
"539","(arsenite,cyp3a4)",8,0,0
"540","(hemin,ho-1)",286,0,0
"541","(etanercept,il-1)",12,0,0
"542","(il-2,lfa-1)",33,0,0
"543","(cisplatin,cd44)",8,0,0
"544","(urokinase,pai-1)",120,0,1
"545","(urokinase,kallikrein)",18,0,0
"546","(urokinase,pai-2)",29,0,1
"547","(ru486,aromatase)",15,0,0
"548","(dexamethasone,gastrin)",7,0,0
"549","(capsaicin,trpv1)",625,0,0
"550","(creatine,transamidinase)",14,0,0
"551","(vildagliptin,dpp-4)",76,0,1
"552","(sulindac,survivin)",7,0,0
"553","(rosiglitazone,mmp-9)",18,0,0
"554","(triiodothyronine,shbg)",6,0,0
"555","(resveratrol,fasl)",5,0,0
"556","(cyclophosphamide,srbc)",25,0,0
"557","(carvedilol,sapk)",6,0,0
"558","(pge2,il-1ra)",16,0,0
"559","(troglitazone,niddm)",47,0,0
"560","(atra,irs-1)",13,0,0
"561","(zonisamide,cyp3a4)",7,0,0
"562","(rapamycin,aicar)",11,0,0
"563","(axitinib,vegf)",18,0,0
"564","(norepinephrine,catechol-o-methyltransferase)",14,0,0
"565","(pge2,mpges)",21,0,0
"566","(dexamethasone,cpla2)",17,0,0
"567","(genistein,icam-1)",10,0,0
"568","(metoprolol,copd)",5,0,0
"569","(oxytocin,sf-1)",9,0,0
"570","(bezafibrate,l-fabp)",10,0,0
"571","(lovastatin,icam-1)",9,0,0
"572","(estradiol,hsp90)",12,0,0
"573","(pimozide,gnrh)",13,0,0
"574","(scopolamine,scop)",11,0,0
"575","(curcumin,hlj1)",5,0,0
"576","(cisplatin,g-csf)",49,0,0
"577","(cyclosporine,hnf4alpha)",5,0,0
"578","(fluorescein,cd14)",9,0,0
"579","(carvedilol,il-10)",7,0,0
"580","(methylprednisolone,g-csf)",9,0,0
"581","(cholestyramine,acat)",6,0,0
"582","(genistein,sulfotransferase)",11,0,0
"583","(moclobemide,mao-b)",9,0,0
"584","(dexamethasone,mkp-1)",32,0,0
"585","(gm-csf,cox-2)",12,0,0
"586","(simvastatin,rhoa)",45,0,0
"587","(simvastatin,rhob)",5,0,0
"588","(neostigmine,cholinesterase)",84,0,0
"589","(4-methylpyrazole,cyp2e1)",17,0,0
"590","(melphalan,hilp)",19,0,0
"591","(moclobemide,mao-a)",94,0,1
"592","(mivacurium,cholinesterase)",71,0,1
"593","(resveratrol,survivin)",7,0,0
"594","(risperidone,cyp3a4)",11,1,0
"595","(aldosterone,mcp-1)",10,0,0
"596","(fk-506,fkbp12)",15,0,0
"597","(oltipraz,pai-1)",5,0,0
"598","(mannitol,m6pr)",7,0,0
"599","(il-2,cd30)",14,0,0
"600","(tamoxifen,er-beta)",8,1,1
"601","(fibrates,ppar)",85,0,0
"602","(phenformin,ampk)",18,0,0
"603","(perazine,cyp1a2)",17,0,0
"604","(il-2,cd23)",14,0,0
"605","(estradiol,gnrh-r)",13,0,0
"606","(il-2,cd25)",676,0,0
"607","(il-1rn,il-1b)",27,0,0
"608","(il-2,cd28)",397,0,0
"609","(rolipram,pde4)",240,0,0
"610","(carnitine,crat)",18,0,1
"611","(doxepin,cyp2d6)",7,1,0
"612","(resveratrol,xbp1)",8,0,0
"613","(chlorpromazine,herg)",7,0,0
"614","(ticagrelor,p2y12)",27,0,1
"615","(bambuterol,bche)",17,0,0
"616","(vasopressin,lhrh)",9,0,0
"617","(nitrofurantoin,bcrp)",16,0,0
"618","(ketoprofen,cox-1)",8,0,1
"619","(cisplatin,cmoat)",11,0,0
"620","(estradiol,shbg)",192,0,0
"621","(varenicline,icer)",5,0,0
"622","(nifedipine,cyp3a)",26,0,0
"623","(adomet,trna)",42,0,0
"624","(aldosterone,sf-1)",6,0,0
"625","(gm-csf,ml-1)",21,0,0
"626","(itraconazole,cyp3a4)",66,0,0
"627","(doxorubicin,tace)",43,0,0
"628","(indomethacin,mmp-2)",11,0,0
"629","(propofol,ugt1a9)",14,1,0
"630","(pgi2,ml-1)",5,0,0
"631","(bortezomib,noxa)",23,0,0
"632","(resveratrol,bcl-2)",35,0,0
"633","(indomethacin,mmp-9)",13,0,0
"634","(celecoxib,egfr)",8,0,0
"635","(indomethacin,pla2)",24,0,0
